ref_date,year,month,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,usd_cny,eur_cny,jpy_cny,gbp_cny,cfets_index,dxy_index,fx_reserve_100m_usd,fx_vol_1m_pct,source_org,release_date,data_status
2018-05-01,2018,5,national,CN,中国,,,7.1201,7.9427,0.044167,9.0727,99.557,104.774,32132.73,5.345,国家外汇管理局,2018-06-10,final
2018-06-01,2018,6,national,CN,中国,,,7.021,7.7583,0.04577,8.9961,101.655,104.554,31990.89,4.501,国家外汇管理局,2018-07-11,final
2018-07-01,2018,7,national,CN,中国,,,7.0831,7.7107,0.050707,8.7267,101.438,104.12,31839.22,5.911,国家外汇管理局,2018-08-10,final
2018-08-01,2018,8,national,CN,中国,,,6.9037,7.5867,0.049385,8.6962,102.36,99.879,31939.05,6.288,国家外汇管理局,2018-09-10,final
2018-09-01,2018,9,national,CN,中国,,,7.0926,7.8254,0.050878,8.7443,99.469,101.876,31956.27,4.337,国家外汇管理局,2018-10-11,final
2018-10-01,2018,10,national,CN,中国,,,7.1028,7.5851,0.044301,8.9105,102.263,104.456,32536.27,5.359,国家外汇管理局,2018-11-10,final
2018-11-01,2018,11,national,CN,中国,,,6.9767,7.6781,0.04779,8.7119,100.855,102.262,31760.78,5.981,国家外汇管理局,2018-12-11,final
2018-12-01,2018,12,national,CN,中国,,,7.1141,7.7247,0.044274,8.926,100.559,105.994,31949.92,5.105,国家外汇管理局,2019-01-10,final
2019-01-01,2019,1,national,CN,中国,,,7.1684,7.8862,0.043943,8.8622,101.633,106.214,31919.67,6.311,国家外汇管理局,2019-02-10,final
2019-02-01,2019,2,national,CN,中国,,,7.1768,7.8956,0.043768,9.0896,101.141,100.654,32268.47,4.969,国家外汇管理局,2019-03-13,final
2019-03-01,2019,3,national,CN,中国,,,7.1896,7.9635,0.046655,9.109,100.388,101.01,31918.79,4.464,国家外汇管理局,2019-04-10,final
2019-04-01,2019,4,national,CN,中国,,,7.1111,8.0072,0.048641,8.8904,100.501,104.022,32298.53,5.373,国家外汇管理局,2019-05-11,final
2019-05-01,2019,5,national,CN,中国,,,7.0996,7.8087,0.047259,8.9993,100.033,103.86,32385.66,4.795,国家外汇管理局,2019-06-10,final
2019-06-01,2019,6,national,CN,中国,,,7.0256,7.577,0.043287,8.845,102.787,100.742,32004.34,5.786,国家外汇管理局,2019-07-11,final
2019-07-01,2019,7,national,CN,中国,,,6.9691,7.7051,0.048431,8.8994,99.915,104.423,32571.51,6.075,国家外汇管理局,2019-08-10,final
2019-08-01,2019,8,national,CN,中国,,,6.9381,7.6054,0.046064,8.8537,98.411,103.428,32453.27,6.07,国家外汇管理局,2019-09-10,final
2019-09-01,2019,9,national,CN,中国,,,6.9258,7.5925,0.050164,8.957,101.578,101.359,32124.65,4.635,国家外汇管理局,2019-10-11,final
2019-10-01,2019,10,national,CN,中国,,,7.0246,7.7384,0.047156,8.7969,99.363,103.572,31880.76,5.112,国家外汇管理局,2019-11-10,final
2019-11-01,2019,11,national,CN,中国,,,6.9556,7.6303,0.050769,8.8156,98.995,102.051,32331.73,4.278,国家外汇管理局,2019-12-11,final
2019-12-01,2019,12,national,CN,中国,,,7.0005,7.6156,0.045498,9.046,100.42,104.458,32218.03,5.264,国家外汇管理局,2020-01-10,final
2020-01-01,2020,1,national,CN,中国,,,7.1575,7.8171,0.047044,9.0288,100.231,102.837,32319.57,5.819,国家外汇管理局,2020-02-10,final
2020-02-01,2020,2,national,CN,中国,,,7.0547,7.8284,0.04602,9.2365,98.278,100.991,32554.59,5.088,国家外汇管理局,2020-03-12,final
2020-03-01,2020,3,national,CN,中国,,,7.1425,7.8623,0.04442,8.9027,102.22,105.462,32145.07,5.662,国家外汇管理局,2020-04-10,final
2020-04-01,2020,4,national,CN,中国,,,7.0322,7.719,0.043996,8.887,100.453,102.703,32248.18,6.183,国家外汇管理局,2020-05-11,final
2020-05-01,2020,5,national,CN,中国,,,7.0104,7.7507,0.050231,9.0461,99.758,100.779,32572.79,4.583,国家外汇管理局,2020-06-10,final
2020-06-01,2020,6,national,CN,中国,,,6.9979,7.6838,0.048175,9.1029,102.557,102.529,32423.34,4.231,国家外汇管理局,2020-07-11,final
2020-07-01,2020,7,national,CN,中国,,,6.9532,7.6456,0.044687,8.7507,100.175,104.892,32047.37,5.503,国家外汇管理局,2020-08-10,final
2020-08-01,2020,8,national,CN,中国,,,6.9949,7.8148,0.047675,8.9427,100.931,105.645,32706.26,5.489,国家外汇管理局,2020-09-10,final
2020-09-01,2020,9,national,CN,中国,,,6.959,7.7809,0.049431,9.0114,101.257,104.344,32660.08,5.693,国家外汇管理局,2020-10-11,final
2020-10-01,2020,10,national,CN,中国,,,6.9522,7.5053,0.045116,8.7706,102.018,102.902,32608.09,6.015,国家外汇管理局,2020-11-10,final
2020-11-01,2020,11,national,CN,中国,,,7.106,7.6647,0.045219,8.8544,98.873,103.003,32429.9,4.661,国家外汇管理局,2020-12-11,final
2020-12-01,2020,12,national,CN,中国,,,7.0553,7.6742,0.044244,8.8035,99.633,102.468,32745.47,4.37,国家外汇管理局,2021-01-10,final
2021-01-01,2021,1,national,CN,中国,,,7.1192,7.9457,0.050583,9.1071,99.467,103.957,32760.95,4.298,国家外汇管理局,2021-02-10,final
2021-02-01,2021,2,national,CN,中国,,,7.0027,7.8757,0.049337,8.9916,101.487,104.182,32655.36,6.033,国家外汇管理局,2021-03-13,final
2021-03-01,2021,3,national,CN,中国,,,7.0147,7.7739,0.048181,8.98,101.295,104.879,32050.19,5.651,国家外汇管理局,2021-04-10,final
2021-04-01,2021,4,national,CN,中国,,,7.0709,7.8789,0.043027,9.2101,98.639,103.222,32686.91,6.374,国家外汇管理局,2021-05-11,final
2021-05-01,2021,5,national,CN,中国,,,6.9864,7.9732,0.047538,9.0062,101.48,103.395,32813.61,6.003,国家外汇管理局,2021-06-10,final
2021-06-01,2021,6,national,CN,中国,,,7.0927,7.5847,0.043869,8.8162,102.619,99.842,32300.11,4.436,国家外汇管理局,2021-07-11,final
2021-07-01,2021,7,national,CN,中国,,,6.9416,7.6545,0.044346,8.8851,102.332,100.982,32629.55,5.612,国家外汇管理局,2021-08-10,final
2021-08-01,2021,8,national,CN,中国,,,6.9069,7.6773,0.04389,8.9535,100.848,101.2,32449.51,4.58,国家外汇管理局,2021-09-10,final
2021-09-01,2021,9,national,CN,中国,,,7.0774,7.5139,0.050653,8.8787,100.824,103.798,32632.84,6.269,国家外汇管理局,2021-10-11,final
2021-10-01,2021,10,national,CN,中国,,,6.9992,7.511,0.045516,8.9347,101.148,100.355,32454.09,4.581,国家外汇管理局,2021-11-10,final
2021-11-01,2021,11,national,CN,中国,,,6.946,7.6942,0.048925,8.8583,102.746,101.788,32729.94,4.396,国家外汇管理局,2021-12-11,final
2021-12-01,2021,12,national,CN,中国,,,7.1425,7.6456,0.045185,9.0219,101.897,103.061,32777.51,5.032,国家外汇管理局,2022-01-10,final
2022-01-01,2022,1,national,CN,中国,,,7.1269,7.8575,0.046001,8.8419,100.975,101.979,32183.75,4.896,国家外汇管理局,2022-02-10,final
2022-02-01,2022,2,national,CN,中国,,,7.0772,7.8271,0.046775,8.9644,99.421,103.191,32940.97,4.225,国家外汇管理局,2022-03-13,final
2022-03-01,2022,3,national,CN,中国,,,7.1211,7.7237,0.043343,8.9306,102.762,105.469,32682.57,4.321,国家外汇管理局,2022-04-10,final
2022-04-01,2022,4,national,CN,中国,,,7.1825,7.7821,0.045089,8.9108,99.863,101.768,32412.51,5.457,国家外汇管理局,2022-05-11,final
2022-05-01,2022,5,national,CN,中国,,,7.1057,7.897,0.048685,9.0806,100.491,100.045,32934.5,5.889,国家外汇管理局,2022-06-10,final
2022-06-01,2022,6,national,CN,中国,,,7.0279,7.6956,0.046089,9.0258,100.674,101.702,32692.62,4.965,国家外汇管理局,2022-07-11,final
2022-07-01,2022,7,national,CN,中国,,,7.145,7.6498,0.048557,8.7072,102.423,105.324,32686.04,5.194,国家外汇管理局,2022-08-10,final
2022-08-01,2022,8,national,CN,中国,,,6.9791,7.7622,0.045512,8.7236,101.967,103.808,32414.63,5.939,国家外汇管理局,2022-09-10,final
2022-09-01,2022,9,national,CN,中国,,,7.0906,7.7216,0.045774,8.6333,101.311,102.367,32817.38,5.733,国家外汇管理局,2022-10-11,final
2022-10-01,2022,10,national,CN,中国,,,6.9192,7.7271,0.044215,8.9242,101.348,104.024,32563.83,4.144,国家外汇管理局,2022-11-10,final
2022-11-01,2022,11,national,CN,中国,,,7.1132,7.8362,0.050836,8.7022,99.461,103.706,32201.88,5.19,国家外汇管理局,2022-12-11,final
2022-12-01,2022,12,national,CN,中国,,,7.111,7.7949,0.04797,8.8022,100.566,100.715,32181.45,5.352,国家外汇管理局,2023-01-10,final
2023-01-01,2023,1,national,CN,中国,,,6.9903,7.843,0.043331,8.8543,101.571,100.878,32758.59,6.207,国家外汇管理局,2023-02-10,final
2023-02-01,2023,2,national,CN,中国,,,6.99,7.7707,0.043634,8.9858,98.468,105.375,33005.54,4.163,国家外汇管理局,2023-03-13,final
2023-03-01,2023,3,national,CN,中国,,,7.145,7.9973,0.05001,8.9766,100.879,101.646,32815.8,5.937,国家外汇管理局,2023-04-10,final
2023-04-01,2023,4,national,CN,中国,,,7.0692,7.6955,0.049049,9.0089,100.673,103.785,32269.31,5.568,国家外汇管理局,2023-05-11,final
2023-05-01,2023,5,national,CN,中国,,,7.1463,7.8575,0.050586,9.1801,101.334,100.328,32612.19,6.144,国家外汇管理局,2023-06-10,final
2023-06-01,2023,6,national,CN,中国,,,6.9985,7.5744,0.043788,8.8751,98.394,99.962,32480.65,5.971,国家外汇管理局,2023-07-11,final
2023-07-01,2023,7,national,CN,中国,,,7.0545,7.8322,0.047235,8.9034,99.756,103.325,32612.36,4.24,国家外汇管理局,2023-08-10,final
2023-08-01,2023,8,national,CN,中国,,,7.0377,7.7405,0.048985,9.0187,100.19,102.027,32278.98,6.027,国家外汇管理局,2023-09-10,final
2023-09-01,2023,9,national,CN,中国,,,7.0119,7.513,0.045281,8.7721,100.201,101.856,32933.55,4.402,国家外汇管理局,2023-10-11,final
2023-10-01,2023,10,national,CN,中国,,,6.9839,7.7288,0.049387,8.7335,98.217,105.106,32977.54,4.984,国家外汇管理局,2023-11-10,final
2023-11-01,2023,11,national,CN,中国,,,7.1225,7.5734,0.044926,8.914,98.789,100.281,32865.6,6.259,国家外汇管理局,2023-12-11,final
2023-12-01,2023,12,national,CN,中国,,,7.1466,7.7466,0.049185,8.8158,99.062,105.672,32357.18,5.712,国家外汇管理局,2024-01-10,final
2024-01-01,2024,1,national,CN,中国,,,6.9641,7.6963,0.045331,9.1122,100.982,103.862,32801.18,4.97,国家外汇管理局,2024-02-10,final
2024-02-01,2024,2,national,CN,中国,,,7.0327,7.8251,0.045528,8.9674,100.773,102.25,32722.81,6.409,国家外汇管理局,2024-03-12,final
2024-03-01,2024,3,national,CN,中国,,,7.164,7.7301,0.049258,8.9922,100.974,100.69,32730.86,5.62,国家外汇管理局,2024-04-10,final
2024-04-01,2024,4,national,CN,中国,,,7.0711,7.7698,0.049732,9.0185,99.206,105.582,32777.31,5.515,国家外汇管理局,2024-05-11,final
2024-05-01,2024,5,national,CN,中国,,,7.042,7.7245,0.046216,8.8656,100.723,104.908,33051.77,6.484,国家外汇管理局,2024-06-10,final
2024-06-01,2024,6,national,CN,中国,,,6.9961,7.7831,0.046756,9.1332,98.999,101.737,32814.88,5.121,国家外汇管理局,2024-07-11,final
2024-07-01,2024,7,national,CN,中国,,,7.0699,7.7613,0.043348,9.0173,98.723,100.769,32990.95,5.452,国家外汇管理局,2024-08-10,final
2024-08-01,2024,8,national,CN,中国,,,6.9274,7.6267,0.046442,8.967,98.347,100.068,32924.88,4.935,国家外汇管理局,2024-09-10,final
2024-09-01,2024,9,national,CN,中国,,,7.0625,7.7742,0.047991,8.6614,98.935,105.247,33132.03,6.39,国家外汇管理局,2024-10-11,final
2024-10-01,2024,10,national,CN,中国,,,6.9278,7.6785,0.048391,8.817,99.75,103.405,32896.33,4.646,国家外汇管理局,2024-11-10,final
2024-11-01,2024,11,national,CN,中国,,,6.9755,7.5662,0.045945,8.7312,98.485,103.497,33007.91,6.38,国家外汇管理局,2024-12-11,final
2024-12-01,2024,12,national,CN,中国,,,6.9798,7.8272,0.047254,8.9709,98.287,101.929,32919.54,6.051,国家外汇管理局,2025-01-10,final
2025-01-01,2025,1,national,CN,中国,,,6.9574,7.6312,0.044466,8.8453,99.139,105.603,32778.86,5.03,国家外汇管理局,2025-02-10,final
2025-02-01,2025,2,national,CN,中国,,,7.0008,7.809,0.050157,8.9555,101.932,105.138,32588.21,4.244,国家外汇管理局,2025-03-13,final
2025-03-01,2025,3,national,CN,中国,,,6.9718,8.0146,0.047544,9.1894,102.391,103.976,33130.16,4.617,国家外汇管理局,2025-04-10,final
2025-04-01,2025,4,national,CN,中国,,,7.055,7.9556,0.04506,9.1296,102.688,101.544,32681.94,6.336,国家外汇管理局,2025-05-11,final
2025-05-01,2025,5,national,CN,中国,,,7.0821,7.9229,0.05044,8.8481,98.981,100.942,32653.54,6.241,国家外汇管理局,2025-06-10,final
2025-06-01,2025,6,national,CN,中国,,,7.0012,7.9213,0.045348,8.8324,99.882,104.432,33144.48,4.643,国家外汇管理局,2025-07-11,final
2025-07-01,2025,7,national,CN,中国,,,6.9182,7.523,0.045499,8.8365,102.291,101.302,32890.95,6.175,国家外汇管理局,2025-08-10,revised
2025-08-01,2025,8,national,CN,中国,,,6.9816,7.8338,0.045191,8.6677,99.518,104.555,33300.98,4.229,国家外汇管理局,2025-09-10,revised
2025-09-01,2025,9,national,CN,中国,,,6.9303,7.703,0.044918,8.9039,98.906,103.15,32942.23,5.339,国家外汇管理局,2025-10-11,revised
2025-10-01,2025,10,national,CN,中国,,,6.9902,7.6868,0.046557,9.0273,100.302,104.976,32528.23,5.64,国家外汇管理局,2025-11-10,preliminary
2025-11-01,2025,11,national,CN,中国,,,6.9864,7.8509,0.046982,8.7981,99.691,101.25,32872.95,6.394,国家外汇管理局,2025-12-11,preliminary
2025-12-01,2025,12,national,CN,中国,,,7.0722,7.7095,0.046908,9.063,100.76,105.164,33308.09,4.399,国家外汇管理局,2026-01-10,preliminary
