ref_date,year,quarter,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,sector,inv_grade_yield_pct,high_yield_yield_pct,ig_spread_bps,hy_spread_bps,default_rate_pct,new_issuance_100m_cny,downgrade_ratio_pct,npl_ratio_pct,source_org,release_date,data_status
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,材料,3.445,7.559,121,397,0.649,1887.37,3.472,1.477,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,通信服务,2.911,8.419,105,472,0.614,1952.11,3.586,1.218,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NE,东北,CN,中国,可选消费,3.3,7.634,121,484,2.079,2218.38,4.246,1.332,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,科技,3.032,7.591,96,454,1.044,18226.71,3.041,1.234,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,金融,3.314,7.22,97,445,0.626,14600.6,1.85,1.391,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,能源,2.908,7.983,102,410,1.056,18789.49,2.691,1.473,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,消费,3.247,6.789,116,488,1.041,17294.28,2.305,1.038,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,工业,2.909,8.086,142,523,1.086,15424.65,3.002,1.354,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,医疗健康,3.188,7.109,141,424,1.255,18411.43,3.279,1.128,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,公用事业,2.898,6.699,132,405,0.929,18353.13,1.848,1.11,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,地产,3.06,8.838,143,492,1.268,16396.24,3.676,2.01,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,材料,3.237,8.255,129,406,0.726,18128.18,3.004,1.297,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,通信服务,2.925,6.911,109,452,0.637,17883.24,3.01,1.728,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-EC,华东,CN,中国,可选消费,3.558,8.742,150,503,1.264,17633.55,3.448,1.78,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,科技,3.261,8.211,120,463,1.012,6154.41,3.611,1.64,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,金融,3.247,7.258,122,464,0.943,6783.39,3.47,1.255,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,能源,2.926,6.761,143,412,0.66,4521.48,3.348,1.38,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,消费,3.272,7.698,123,421,1.436,5339.77,2.607,1.331,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,工业,3.138,7.034,108,393,1.595,5991.92,3.719,1.704,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,医疗健康,2.905,8.094,95,397,1.296,4894.3,2.273,1.4,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,公用事业,3.324,7.474,95,416,1.28,6065.57,3.331,0.835,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,地产,3.091,7.925,152,525,1.685,5434.63,5.552,1.679,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,材料,3.364,7.744,113,415,0.601,5510.55,4.114,1.514,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,通信服务,2.999,7.845,94,457,0.565,5447.59,2.259,1.314,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-CC,华中,CN,中国,可选消费,3.597,8.891,163,483,1.085,5637.32,5.139,1.346,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,科技,3.242,7.214,134,407,1.473,4413.56,4.009,1.029,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,金融,2.931,6.504,117,470,1.36,5436.69,3.723,1.496,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,能源,3.444,7.822,144,502,0.884,5720.72,3.712,1.406,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,消费,2.917,6.759,115,485,1.562,5347.12,3.45,1.026,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,工业,2.925,6.784,95,474,0.452,5932.57,2.383,1.723,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,医疗健康,2.931,8.272,104,517,1.337,5528.92,2.162,1.099,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,公用事业,3.127,7.706,117,390,0.39,5880.78,2.467,1.349,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,地产,3.155,8.378,140,518,2.058,6072.24,3.537,1.697,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,材料,3.014,7.38,100,434,0.571,5211.41,3.921,1.696,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,通信服务,3.04,7.393,130,429,1.253,4783.9,2.93,1.075,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SC,华南,CN,中国,可选消费,3.162,8.956,165,520,1.612,5610.3,4.302,2.061,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,科技,3.36,7.288,126,501,0.511,4443.94,3.843,1.583,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,金融,3.5,6.696,119,424,1.4,5519.14,2.288,0.869,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,能源,3.192,7.279,110,479,1.112,3893.57,3.019,1.741,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,消费,3.165,7.98,141,439,0.487,5797.16,3.638,1.692,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,工业,3.41,7.052,144,413,1.634,5915.6,2.685,1.446,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,医疗健康,3.33,7.437,99,485,1.179,5190.19,3.259,1.403,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,公用事业,3.249,7.807,106,499,1.298,4542.95,2.913,1.22,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,地产,3.67,7.812,130,476,1.106,5463.45,4.229,1.481,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,材料,3.015,8.345,137,422,0.778,4695.12,3.612,1.119,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,通信服务,3.514,7.424,145,490,1.001,5883.3,3.683,1.212,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-SW,西南,CN,中国,可选消费,3.43,8.754,166,485,1.816,5347.1,3.496,1.673,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,科技,2.973,6.987,101,456,0.708,2185.43,2.712,1.437,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,金融,2.909,7.102,89,466,0.233,2700.41,2.933,1.183,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,能源,3.115,8.151,108,487,1.595,2605.78,2.351,1.341,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,消费,3.511,8.194,104,409,0.538,2697.88,3.71,1.544,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,工业,3.093,7.783,119,409,0.806,2721.79,3.295,1.085,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,医疗健康,3.077,8.084,144,438,0.493,2498.18,3.78,1.725,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,公用事业,3.406,8.224,134,430,0.598,2057.68,2.412,0.825,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,地产,3.53,8.986,162,456,1.38,2605.69,5.57,1.345,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,材料,3.563,7.89,135,445,1.135,2099.13,2.442,1.65,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,通信服务,2.974,7.297,144,391,1.631,2051.93,2.104,1.563,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,region,CN-R-NW,西北,CN,中国,可选消费,3.128,7.728,155,460,1.838,2229.6,4.891,1.541,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,科技,3.211,7.38,97,492,1.551,1541.86,3.677,1.241,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,金融,3.012,7.572,98,485,0.619,1686.42,2.936,1.504,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,能源,3.473,7.958,138,487,0.692,1540.4,3.597,0.996,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,消费,3.324,7.53,124,492,1.014,1344.78,2.906,1.637,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,工业,3.513,7.439,145,424,0.55,1235.37,4.264,1.224,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,医疗健康,3.025,8.048,113,438,0.58,1266.82,2.894,1.272,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,公用事业,2.984,7.521,127,370,1.271,1093.42,2.174,1.361,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,地产,3.393,7.434,161,576,1.979,1674.07,3.865,1.365,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,材料,3.514,7.628,115,454,1.045,1505.79,2.628,1.142,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,通信服务,3.525,7.896,113,399,0.6,1525.48,3.954,1.694,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-BJ,北京,CN-R-NC,华北,可选消费,3.049,8.322,146,561,2.184,1321.97,3.748,1.934,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,科技,3.009,7.928,132,521,0.668,575.7,3.214,0.992,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,金融,3.154,8.177,91,448,0.944,679.14,1.727,0.943,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,能源,3.519,7.171,102,428,1.056,725.58,2.886,1.11,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,消费,3.483,8.473,128,518,1.454,560.96,3.625,1.069,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,工业,3.387,7.062,117,503,1.416,542.43,2.783,1.042,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,医疗健康,3.487,7.434,113,517,0.606,554.13,2.498,1.298,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,公用事业,3.332,6.902,106,439,0.779,502.45,3.19,1.315,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,地产,3.384,8.684,122,554,1.053,508.71,4.409,1.762,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,材料,3.393,6.765,102,527,1.324,661.42,4.138,1.156,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,通信服务,3.116,7.717,101,514,0.743,532.41,3.718,1.21,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-TJ,天津,CN-R-NC,华北,可选消费,3.64,7.962,129,532,1.15,538.67,5.18,1.34,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,科技,3.403,7.937,123,392,1.016,1667.8,3.149,1.666,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,金融,3.425,7.283,105,503,0.334,1751.38,3.192,1.38,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,能源,2.902,6.746,111,415,0.872,1567.89,4.165,1.626,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,消费,3.375,6.737,128,412,1.246,1208.03,2.135,1.651,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,工业,3.234,7.754,95,433,1.356,1330.18,2.913,1.132,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,医疗健康,3.254,7.866,111,437,1.513,1398.99,3.94,1.213,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,公用事业,2.911,7.024,87,459,0.498,1209.12,2.412,1.224,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,地产,3.572,8.641,123,543,1.16,1426.31,4.435,2.0,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,材料,3.343,7.253,139,414,1.504,1497.9,2.675,1.458,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,通信服务,3.558,7.684,107,430,1.067,1249.23,3.136,1.262,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-HE,河北,CN-R-NC,华北,可选消费,3.297,8.626,160,450,2.077,1023.76,4.681,2.067,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,科技,3.298,8.123,96,403,0.841,747.85,4.155,1.63,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,金融,3.304,7.758,136,449,1.036,933.4,1.577,1.21,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,能源,3.364,8.108,124,528,1.077,1099.85,2.882,1.417,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,消费,3.398,7.318,142,461,0.469,788.78,3.73,1.231,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,工业,3.114,8.227,130,447,1.196,905.04,2.72,1.604,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,医疗健康,3.454,7.262,117,422,1.218,773.74,2.544,1.121,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,公用事业,3.408,7.283,108,465,0.287,778.63,3.52,1.491,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,地产,3.477,7.514,163,545,1.192,723.52,3.677,2.077,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,材料,3.342,7.892,136,474,0.663,995.74,2.257,1.707,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,通信服务,3.175,7.327,98,414,1.142,862.64,3.347,1.745,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-SX,山西,CN-R-NC,华北,可选消费,3.017,7.622,116,568,2.184,741.66,4.051,1.589,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,科技,2.942,8.453,131,420,1.042,685.58,4.041,0.957,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,金融,2.992,6.505,133,433,0.853,619.46,3.361,1.586,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,能源,2.918,7.627,122,435,1.643,649.89,3.561,1.505,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,消费,3.34,8.355,105,460,1.143,536.51,2.666,1.623,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,工业,3.004,7.729,96,394,1.501,529.06,3.932,1.15,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,医疗健康,3.161,7.589,115,455,0.768,555.06,2.46,1.463,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,公用事业,3.154,7.261,92,427,0.722,476.45,2.021,0.928,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,地产,3.645,8.409,143,552,1.612,653.32,4.66,1.305,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,材料,3.312,8.363,139,422,1.391,607.39,3.27,1.081,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,通信服务,3.016,7.157,112,519,0.749,628.16,2.412,1.04,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-NM,内蒙古,CN-R-NC,华北,可选消费,3.181,8.32,123,574,1.773,497.71,3.653,1.8,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,科技,3.523,7.031,95,422,0.687,1113.43,2.99,1.497,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,金融,3.207,7.981,127,371,0.227,1110.97,3.001,1.448,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,能源,3.007,7.49,145,406,1.604,881.94,3.063,1.484,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,消费,3.149,8.132,140,432,1.306,945.73,2.659,1.131,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,工业,3.29,7.945,99,525,0.886,1248.49,3.208,1.026,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,医疗健康,3.219,7.741,138,480,1.323,1009.35,2.528,1.695,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,公用事业,3.0,7.162,104,475,0.226,850.03,2.98,1.411,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,地产,3.4,8.294,153,539,2.106,866.62,5.209,1.572,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,材料,3.029,8.423,129,435,0.943,1061.84,4.198,1.585,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,通信服务,3.551,7.955,121,402,1.137,1115.27,2.346,1.19,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-LN,辽宁,CN-R-NE,东北,可选消费,3.146,8.78,126,531,1.594,1163.9,3.526,1.473,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-JL,吉林,CN-R-NE,东北,科技,3.301,7.345,135,508,1.477,367.23,3.589,0.996,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-JL,吉林,CN-R-NE,东北,金融,3.254,7.699,113,457,0.583,374.51,2.873,1.099,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-JL,吉林,CN-R-NE,东北,能源,3.021,8.267,116,509,0.738,382.66,2.927,1.038,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-JL,吉林,CN-R-NE,东北,消费,3.245,7.176,139,460,0.466,431.58,2.982,1.565,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-JL,吉林,CN-R-NE,东北,工业,2.986,6.706,117,522,1.491,392.19,3.592,1.112,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-JL,吉林,CN-R-NE,东北,医疗健康,3.1,8.014,109,444,0.961,272.0,3.792,1.006,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-JL,吉林,CN-R-NE,东北,公用事业,3.047,6.9,112,470,0.77,395.48,3.497,1.571,银行间市场交易商协会,2016-02-25,final
2016-01-01,2016,1,province,CN-JL,吉林,CN-R-NE,东北,地产,3.156,7.251,129,517,1.977,419.34,3.588,1.883,银行间市场交易商协会,2016-02-25,final
