ref_date,year,month,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,total_sales_100m_cny,auto_sales_100m_cny,food_sales_100m_cny,ecommerce_sales_100m_cny,service_retail_100m_cny,yoy_change_pct,mom_change_sa_pct,real_yoy_change_pct,source_org,release_date,data_status
2016-01-01,2016,1,province,CN-HB,湖北,CN-R-CC,华中,1784.62,148.71,255.39,471.99,612.49,3.374,1.484,2.886,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HN,湖南,CN-R-CC,华中,1523.78,132.92,229.06,362.27,504.94,4.208,0.731,3.881,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GD,广东,CN-R-SC,华南,4078.78,344.91,835.79,998.1,1125.41,3.605,0.524,2.28,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GX,广西,CN-R-SC,华南,807.61,87.6,120.23,186.22,229.46,4.256,1.505,2.752,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HI,海南,CN-R-SC,华南,251.02,25.42,47.34,56.03,81.77,3.193,0.858,2.546,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-CQ,重庆,CN-R-SW,西南,907.43,66.23,167.33,222.93,292.66,5.48,0.653,4.689,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SC,四川,CN-R-SW,西南,1943.69,164.04,321.37,466.83,682.9,6.076,1.215,4.586,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GZ,贵州,CN-R-SW,西南,718.51,85.37,164.22,175.37,241.9,5.403,0.941,3.707,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-YN,云南,CN-R-SW,西南,803.16,70.56,132.02,153.54,279.53,5.313,1.289,3.821,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-XZ,西藏,CN-R-SW,西南,85.18,6.25,17.94,18.97,25.68,5.165,0.591,3.521,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SN,陕西,CN-R-NW,西北,1093.66,87.24,169.01,328.78,315.08,4.041,0.658,3.468,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GS,甘肃,CN-R-NW,西北,329.89,35.91,48.16,104.5,106.48,3.378,1.174,3.244,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-QH,青海,CN-R-NW,西北,154.42,14.08,21.84,41.92,52.8,3.782,1.275,2.718,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-NX,宁夏,CN-R-NW,西北,211.5,16.11,31.31,58.09,64.75,6.674,0.995,4.85,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-XJ,新疆,CN-R-NW,西北,532.84,53.88,73.02,118.16,176.88,6.877,-0.066,5.986,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-GZ-GZ,广州,CN-GD,广东,743.16,96.64,125.48,212.34,239.02,3.991,1.2,3.329,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-GD-SZ,深圳,CN-GD,广东,873.23,105.79,154.96,193.15,281.68,4.721,0.045,3.978,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-ZJ-HZ,杭州,CN-ZJ,浙江,550.26,71.27,91.73,156.39,198.06,5.756,0.943,4.236,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-JS-NJ,南京,CN-JS,江苏,567.34,54.3,85.3,137.83,199.58,4.523,0.808,4.393,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-HB-WH,武汉,CN-HB,湖北,422.08,44.66,68.19,116.48,117.11,6.885,0.43,5.745,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-SC-CD,成都,CN-SC,四川,470.03,58.89,81.27,106.16,150.57,7.017,0.094,5.495,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-SN-XA,西安,CN-SN,陕西,249.35,22.93,40.23,73.81,81.15,4.455,1.229,2.629,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-JS-SZ,苏州,CN-JS,江苏,868.61,109.17,111.6,235.07,297.93,5.85,0.543,5.499,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-SD-QD,青岛,CN-SD,山东,562.7,59.85,88.19,154.95,166.16,4.309,0.903,3.328,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-ZJ-NB,宁波,CN-ZJ,浙江,366.2,37.25,52.39,81.24,118.69,3.961,0.116,3.149,国家统计局,2016-02-10,final
2016-02-01,2016,2,national,CN,中国,,,38919.43,3172.33,5385.45,10109.43,12316.8,5.673,0.918,4.379,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-NC,华北,CN,中国,4611.35,333.46,731.9,952.2,1668.8,5.518,0.335,4.525,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-NE,东北,CN,中国,1855.71,150.24,228.19,498.98,579.13,4.871,1.566,3.985,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-EC,华东,CN,中国,15123.06,1292.12,2112.56,4354.76,4401.1,6.45,0.997,4.719,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-CC,华中,CN,中国,5164.98,438.36,565.53,1073.4,1799.29,7.159,1.787,6.331,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-SC,华南,CN,中国,5153.3,412.47,708.81,1354.52,1658.52,4.395,0.385,3.159,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-SW,西南,CN,中国,4643.4,334.04,687.26,1336.57,1493.38,6.52,0.682,5.891,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-NW,西北,CN,中国,2367.63,211.64,351.2,539.0,716.59,5.924,1.483,5.062,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-BJ,北京,CN-R-NC,华北,1404.19,109.94,181.52,316.34,481.54,5.402,1.113,3.444,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-TJ,天津,CN-R-NC,华北,525.21,32.78,68.52,107.0,213.73,6.006,0.767,3.833,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HE,河北,CN-R-NC,华北,1396.4,79.3,269.36,260.12,444.08,4.039,0.925,3.344,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SX,山西,CN-R-NC,华北,768.54,64.6,126.09,156.58,316.85,5.525,0.419,3.658,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-NM,内蒙古,CN-R-NC,华北,517.01,46.84,86.4,112.17,212.61,4.308,1.696,2.36,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-LN,辽宁,CN-R-NE,东北,964.11,81.8,116.44,255.53,278.93,7.152,1.84,5.081,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-JL,吉林,CN-R-NE,东北,377.16,23.2,42.21,107.31,108.82,6.352,1.82,5.595,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HL,黑龙江,CN-R-NE,东北,514.44,45.24,69.54,136.14,191.39,6.188,0.388,5.515,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SH,上海,CN-R-EC,华东,1407.95,125.78,202.98,396.72,386.1,7.158,1.955,5.52,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-JS,江苏,CN-R-EC,华东,3837.24,316.2,585.37,990.53,1006.14,6.668,0.728,6.095,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-ZJ,浙江,CN-R-EC,华东,2633.46,163.33,378.6,651.68,838.54,3.949,0.526,3.449,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-AH,安徽,CN-R-EC,华东,1396.75,104.32,190.13,400.78,400.43,7.681,1.782,6.85,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-FJ,福建,CN-R-EC,华东,1520.68,154.69,237.77,535.24,388.72,5.719,0.627,3.567,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-JX,江西,CN-R-EC,华东,930.55,87.74,149.22,231.04,288.96,4.004,1.931,3.6,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SD,山东,CN-R-EC,华东,3396.43,340.05,368.49,1148.78,1092.21,3.843,0.939,2.727,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HA,河南,CN-R-CC,华中,1958.18,169.91,203.11,399.75,668.69,5.453,1.437,3.521,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HB,湖北,CN-R-CC,华中,1722.03,117.06,186.67,336.85,619.61,4.181,1.092,2.459,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HN,湖南,CN-R-CC,华中,1484.77,151.4,175.75,336.81,510.99,4.345,1.358,2.921,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-GD,广东,CN-R-SC,华南,4112.18,324.01,564.92,1091.11,1310.04,4.827,0.745,3.441,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-GX,广西,CN-R-SC,华南,795.36,68.79,112.61,197.7,260.31,7.392,2.08,6.702,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HI,海南,CN-R-SC,华南,245.76,19.67,31.29,65.71,88.17,7.479,1.589,7.04,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-CQ,重庆,CN-R-SW,西南,918.93,53.95,165.27,303.73,329.05,3.918,0.841,1.912,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SC,四川,CN-R-SW,西南,2011.58,169.17,280.4,495.77,617.48,4.737,1.744,2.574,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-GZ,贵州,CN-R-SW,西南,772.33,41.25,109.72,269.83,223.58,5.175,1.063,4.301,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-YN,云南,CN-R-SW,西南,848.82,64.88,117.28,240.62,295.96,3.992,1.684,3.266,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-XZ,西藏,CN-R-SW,西南,91.73,4.79,14.59,26.61,27.31,4.181,1.305,2.209,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SN,陕西,CN-R-NW,西北,1110.7,85.18,164.48,226.33,316.09,6.829,1.226,4.995,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-GS,甘肃,CN-R-NW,西北,340.62,26.78,57.56,80.67,115.13,4.722,1.107,4.277,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-QH,青海,CN-R-NW,西北,154.1,17.13,23.29,43.39,50.99,6.168,1.324,4.731,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-NX,宁夏,CN-R-NW,西北,221.37,19.7,28.45,61.3,74.2,3.79,0.435,1.673,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-XJ,新疆,CN-R-NW,西北,540.84,62.86,77.41,127.31,160.17,6.373,1.34,5.84,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-GZ-GZ,广州,CN-GD,广东,758.0,106.02,102.3,218.52,230.43,5.685,1.695,4.078,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-GD-SZ,深圳,CN-GD,广东,916.05,78.48,140.52,278.6,298.33,5.337,0.981,4.081,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-ZJ-HZ,杭州,CN-ZJ,浙江,537.65,52.14,71.34,161.22,161.31,3.826,0.61,2.541,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-JS-NJ,南京,CN-JS,江苏,576.69,65.36,103.71,149.32,162.23,6.929,0.724,5.111,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-HB-WH,武汉,CN-HB,湖北,435.98,51.03,77.67,100.54,129.78,3.897,1.859,2.408,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-SC-CD,成都,CN-SC,四川,485.87,51.25,70.51,116.59,155.31,5.394,0.59,3.293,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-SN-XA,西安,CN-SN,陕西,258.42,28.65,37.57,77.92,90.82,5.282,0.837,4.811,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-JS-SZ,苏州,CN-JS,江苏,821.06,96.58,129.02,206.06,291.93,5.919,1.969,4.384,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-SD-QD,青岛,CN-SD,山东,549.2,54.5,75.72,174.13,145.38,5.57,0.459,3.824,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-ZJ-NB,宁波,CN-ZJ,浙江,359.99,48.82,62.06,79.62,98.36,7.254,0.682,5.171,国家统计局,2016-03-12,final
2016-03-01,2016,3,national,CN,中国,,,39920.28,3464.66,7104.56,11402.78,10789.51,7.017,1.601,5.838,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-NC,华北,CN,中国,4684.67,361.31,906.46,1445.69,1050.84,6.666,0.64,5.34,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-NE,东北,CN,中国,1895.28,147.35,403.86,491.54,537.77,5.795,1.033,4.737,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-EC,华东,CN,中国,15556.79,1207.48,3017.61,4686.94,4334.28,4.719,0.831,3.298,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-CC,华中,CN,中国,5367.79,509.26,874.62,1346.08,1539.98,5.561,0.35,3.906,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-SC,华南,CN,中国,5330.72,525.14,830.1,1450.89,1607.29,7.456,1.744,7.039,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-SW,西南,CN,中国,4707.08,491.01,705.07,1377.27,1126.52,6.346,0.614,4.38,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-NW,西北,CN,中国,2377.93,223.11,366.83,604.37,592.82,5.511,1.336,4.759,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-BJ,北京,CN-R-NC,华北,1430.08,89.83,223.07,460.0,318.64,6.887,0.37,5.309,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-TJ,天津,CN-R-NC,华北,555.29,38.72,91.83,172.51,129.76,6.804,0.175,6.076,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HE,河北,CN-R-NC,华北,1363.65,124.52,301.78,375.96,288.27,5.222,1.204,4.942,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SX,山西,CN-R-NC,华北,782.6,73.49,162.33,252.92,179.7,5.37,0.854,3.37,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-NM,内蒙古,CN-R-NC,华北,553.04,34.74,127.45,184.31,134.47,5.979,0.06,4.607,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-LN,辽宁,CN-R-NE,东北,967.84,80.91,185.6,220.06,276.71,7.09,1.275,5.701,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-JL,吉林,CN-R-NE,东北,392.2,31.56,92.47,114.63,112.21,6.293,1.541,4.688,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HL,黑龙江,CN-R-NE,东北,535.25,34.89,125.79,156.85,148.85,7.439,0.959,6.816,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SH,上海,CN-R-EC,华东,1442.06,84.58,281.07,441.01,347.03,4.684,0.512,3.584,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-JS,江苏,CN-R-EC,华东,3952.81,339.35,803.01,1168.63,1155.75,6.574,1.429,4.763,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-ZJ,浙江,CN-R-EC,华东,2714.19,232.14,472.55,906.98,770.51,4.004,0.277,2.89,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-AH,安徽,CN-R-EC,华东,1441.5,90.17,286.65,403.51,422.91,4.17,0.689,3.307,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-FJ,福建,CN-R-EC,华东,1565.6,93.1,297.41,506.07,431.48,5.435,1.281,3.976,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-JX,江西,CN-R-EC,华东,998.15,62.99,190.64,249.86,283.31,6.177,1.171,5.635,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SD,山东,CN-R-EC,华东,3442.48,305.15,686.29,1010.88,923.29,7.267,1.13,6.394,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HA,河南,CN-R-CC,华中,1967.2,196.92,320.67,464.26,536.04,4.932,1.476,4.374,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HB,湖北,CN-R-CC,华中,1825.96,198.18,312.77,490.28,521.33,6.97,-0.007,5.064,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HN,湖南,CN-R-CC,华中,1574.63,114.17,241.19,391.53,482.62,4.363,1.155,2.419,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-GD,广东,CN-R-SC,华南,4261.14,397.98,696.16,1170.4,1257.37,5.244,1.076,4.247,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-GX,广西,CN-R-SC,华南,826.15,92.02,102.5,220.42,279.89,5.235,1.258,4.639,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HI,海南,CN-R-SC,华南,243.43,35.14,31.44,60.07,70.03,3.731,1.265,2.365,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-CQ,重庆,CN-R-SW,西南,953.86,108.02,129.38,326.75,233.14,7.11,0.917,6.482,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SC,四川,CN-R-SW,西南,2018.64,179.47,324.18,513.56,500.82,7.445,1.195,6.452,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-GZ,贵州,CN-R-SW,西南,804.56,91.6,132.22,226.17,202.95,4.541,1.315,3.383,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-YN,云南,CN-R-SW,西南,835.01,99.36,103.45,285.73,168.23,4.674,0.228,4.032,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-XZ,西藏,CN-R-SW,西南,95.0,12.56,15.84,25.06,21.38,5.905,1.181,4.455,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SN,陕西,CN-R-NW,西北,1143.09,103.6,177.37,297.27,282.8,4.595,0.971,3.193,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-GS,甘肃,CN-R-NW,西北,326.25,37.43,59.54,78.27,82.88,5.281,1.661,4.617,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-QH,青海,CN-R-NW,西北,158.17,15.48,24.01,46.67,41.88,4.72,0.263,3.82,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-NX,宁夏,CN-R-NW,西北,217.07,17.47,29.54,61.6,52.85,6.844,1.365,4.895,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-XJ,新疆,CN-R-NW,西北,533.33,49.12,76.37,120.56,132.41,7.127,1.679,6.546,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-GZ-GZ,广州,CN-GD,广东,724.53,67.5,118.68,173.89,237.96,4.716,0.157,4.416,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-GD-SZ,深圳,CN-GD,广东,919.99,100.26,131.45,244.15,277.68,4.231,0.53,2.659,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-ZJ-HZ,杭州,CN-ZJ,浙江,558.02,76.74,75.32,138.16,159.99,4.873,0.024,3.977,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-JS-NJ,南京,CN-JS,江苏,584.8,52.16,86.63,178.33,165.38,4.828,0.019,3.596,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-HB-WH,武汉,CN-HB,湖北,444.25,55.06,56.54,131.21,145.31,5.73,0.408,3.995,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-SC-CD,成都,CN-SC,四川,487.17,56.17,82.95,149.51,135.5,6.487,1.629,5.294,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-SN-XA,西安,CN-SN,陕西,256.57,33.1,38.15,58.38,67.46,5.307,1.198,4.043,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-JS-SZ,苏州,CN-JS,江苏,877.95,78.44,108.79,274.01,300.73,6.772,0.911,5.064,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-SD-QD,青岛,CN-SD,山东,562.94,67.06,82.06,165.27,194.3,4.381,1.524,3.76,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-ZJ-NB,宁波,CN-ZJ,浙江,373.62,40.09,48.39,96.82,128.66,4.553,-0.0,3.158,国家统计局,2016-04-10,final
2016-04-01,2016,4,national,CN,中国,,,39696.02,5391.07,6916.62,12613.79,12522.07,6.882,-0.121,5.791,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-NC,华北,CN,中国,4824.18,542.34,927.17,1504.4,1706.42,6.641,0.591,6.019,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-NE,东北,CN,中国,1941.45,215.68,398.84,526.78,546.17,7.364,0.819,6.519,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-EC,华东,CN,中国,15453.81,2380.82,2381.58,5377.73,5023.32,6.674,0.747,5.653,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-CC,华中,CN,中国,5188.94,543.46,1039.69,1798.67,1453.18,4.375,0.998,3.303,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-SC,华南,CN,中国,5368.35,705.22,1085.55,1414.56,1567.12,7.164,0.955,6.855,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-SW,西南,CN,中国,4592.92,731.91,731.73,1184.76,1383.72,4.391,-0.201,2.426,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-NW,西北,CN,中国,2326.37,271.65,352.06,806.88,842.13,4.851,1.12,4.198,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-BJ,北京,CN-R-NC,华北,1477.0,181.6,304.83,441.74,486.1,6.164,0.56,4.473,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-TJ,天津,CN-R-NC,华北,541.29,61.61,115.99,169.66,202.28,5.209,-0.262,4.295,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-HE,河北,CN-R-NC,华北,1444.87,155.48,252.13,437.85,473.95,6.441,0.303,5.998,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-SX,山西,CN-R-NC,华北,824.38,80.06,141.22,295.66,344.95,4.558,-0.048,2.948,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-NM,内蒙古,CN-R-NC,华北,536.65,63.59,113.0,159.49,199.13,4.556,-0.016,3.448,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-LN,辽宁,CN-R-NE,东北,1019.89,91.3,204.76,285.2,266.22,7.484,0.47,7.065,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-JL,吉林,CN-R-NE,东北,396.67,50.11,86.23,113.9,114.79,4.783,1.418,3.684,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-HL,黑龙江,CN-R-NE,东北,524.89,74.27,107.84,127.68,165.16,7.19,0.382,6.836,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-SH,上海,CN-R-EC,华东,1447.74,217.18,202.42,434.25,406.6,5.066,1.206,3.711,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-JS,江苏,CN-R-EC,华东,3986.79,723.86,689.77,1354.91,1420.89,5.554,0.159,3.651,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-ZJ,浙江,CN-R-EC,华东,2526.54,275.87,333.03,719.19,900.31,3.796,1.064,2.178,国家统计局,2016-05-11,final
