ref_date,year,month,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,total_index,manufacturing_index,mining_index,utilities_index,hightech_index,equipment_mfg_index,capacity_utilization_pct,yoy_growth_pct,mom_growth_sa_pct,source_org,release_date,data_status
2016-01-01,2016,1,province,CN-SN,陕西,CN-R-NW,西北,101.513,102.383,94.076,109.998,115.313,106.703,77.276,3.967,0.078,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GS,甘肃,CN-R-NW,西北,105.209,106.48,96.991,112.867,114.974,108.657,74.043,4.65,0.248,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-QH,青海,CN-R-NW,西北,101.3,103.428,98.986,110.052,113.407,111.977,73.453,6.479,0.563,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-NX,宁夏,CN-R-NW,西北,104.775,103.806,98.747,106.181,114.986,108.843,73.83,6.446,0.215,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-XJ,新疆,CN-R-NW,西北,100.478,99.179,90.116,101.617,114.756,105.059,74.067,5.972,0.201,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-GZ-GZ,广州,CN-GD,广东,98.46,97.724,92.551,101.945,113.526,107.561,75.975,4.036,-0.043,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-GD-SZ,深圳,CN-GD,广东,98.32,97.679,94.584,100.713,109.552,108.994,75.551,4.954,0.495,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-ZJ-HZ,杭州,CN-ZJ,浙江,101.98,100.508,95.926,106.296,111.24,111.817,75.049,4.037,0.306,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-JS-NJ,南京,CN-JS,江苏,101.292,103.788,91.973,102.363,115.745,106.972,73.379,3.963,0.361,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-HB-WH,武汉,CN-HB,湖北,95.844,95.694,88.412,97.715,111.851,104.642,75.724,5.785,0.949,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-SC-CD,成都,CN-SC,四川,97.664,99.365,91.191,102.673,114.062,100.857,74.487,4.841,-0.003,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-SN-XA,西安,CN-SN,陕西,95.871,99.22,86.843,98.608,108.377,103.939,74.48,5.757,0.634,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-JS-SZ,苏州,CN-JS,江苏,102.419,102.345,99.963,104.808,109.693,109.372,75.565,5.972,0.299,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-SD-QD,青岛,CN-SD,山东,104.343,103.861,95.472,112.168,118.109,114.025,74.557,5.67,0.438,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-ZJ-NB,宁波,CN-ZJ,浙江,100.951,102.747,92.632,107.695,117.772,103.724,74.492,4.453,0.174,国家统计局,2016-02-10,final
2016-02-01,2016,2,national,CN,中国,,,101.183,99.167,90.125,103.324,108.82,108.695,75.793,5.623,0.264,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-NC,华北,CN,中国,105.279,104.479,94.091,108.616,114.818,109.44,74.303,6.822,0.951,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-NE,东北,CN,中国,103.958,108.036,98.463,112.446,120.016,116.176,75.067,6.863,0.591,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-EC,华东,CN,中国,101.806,99.795,96.735,107.019,113.996,106.997,76.592,4.904,0.254,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-CC,华中,CN,中国,96.463,95.821,91.053,99.245,107.475,104.739,73.326,5.867,0.727,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-SC,华南,CN,中国,105.186,104.784,96.954,113.378,119.136,109.839,74.818,5.752,-0.0,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-SW,西南,CN,中国,96.168,95.395,87.815,104.524,109.583,100.016,75.328,4.409,0.055,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-NW,西北,CN,中国,100.15,103.942,97.768,102.978,113.288,104.48,73.68,4.481,0.144,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-BJ,北京,CN-R-NC,华北,99.74,99.551,96.875,104.504,107.217,103.237,73.795,6.033,0.474,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-TJ,天津,CN-R-NC,华北,102.609,101.188,94.345,107.989,112.601,107.526,73.765,5.598,0.291,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HE,河北,CN-R-NC,华北,97.251,96.012,95.103,104.529,111.226,100.238,74.131,6.609,0.372,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SX,山西,CN-R-NC,华北,99.088,99.351,91.479,102.942,106.077,105.633,76.445,4.72,0.884,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-NM,内蒙古,CN-R-NC,华北,97.353,100.311,91.208,103.218,110.956,99.912,77.056,6.56,0.886,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-LN,辽宁,CN-R-NE,东北,100.958,101.337,94.415,105.847,110.762,106.889,75.54,7.481,0.806,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-JL,吉林,CN-R-NE,东北,101.485,103.452,98.282,110.304,110.091,111.406,74.96,4.881,0.973,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HL,黑龙江,CN-R-NE,东北,102.519,103.974,94.585,106.328,110.284,108.728,74.261,7.191,0.909,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SH,上海,CN-R-EC,华东,96.683,96.383,90.058,99.512,109.351,99.145,76.005,5.322,0.584,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-JS,江苏,CN-R-EC,华东,106.019,104.7,94.829,111.745,119.932,111.784,76.304,6.28,0.524,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-ZJ,浙江,CN-R-EC,华东,100.368,104.075,91.845,102.171,117.234,109.725,73.347,6.795,0.358,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-AH,安徽,CN-R-EC,华东,99.236,99.479,91.581,104.984,114.788,107.006,76.618,4.942,0.728,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-FJ,福建,CN-R-EC,华东,99.417,103.138,89.365,106.515,106.622,106.105,76.016,6.064,0.189,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-JX,江西,CN-R-EC,华东,101.745,101.506,98.992,103.309,112.161,111.698,74.769,4.67,0.955,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SD,山东,CN-R-EC,华东,102.413,106.294,95.656,105.261,110.838,106.996,76.832,5.824,0.041,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HA,河南,CN-R-CC,华中,97.01,98.291,86.945,101.194,103.906,103.614,75.96,6.235,0.105,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HB,湖北,CN-R-CC,华中,103.605,102.818,94.885,108.52,117.895,112.863,73.61,6.645,0.438,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HN,湖南,CN-R-CC,华中,102.259,105.882,99.052,110.238,113.415,105.514,73.809,7.126,0.158,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-GD,广东,CN-R-SC,华南,98.063,96.349,95.271,99.174,111.868,102.262,76.897,4.532,0.521,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-GX,广西,CN-R-SC,华南,101.382,99.694,98.473,110.091,112.347,103.483,75.063,6.935,0.736,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HI,海南,CN-R-SC,华南,96.55,98.409,94.811,104.223,105.311,99.078,73.829,6.236,1.06,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-CQ,重庆,CN-R-SW,西南,100.929,104.819,94.032,106.112,109.667,105.436,76.596,5.701,0.095,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SC,四川,CN-R-SW,西南,97.63,97.807,95.337,106.303,111.885,100.961,73.245,6.16,1.026,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-GZ,贵州,CN-R-SW,西南,104.025,103.594,94.928,108.84,118.867,109.736,76.918,6.986,0.768,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-YN,云南,CN-R-SW,西南,99.432,103.098,95.53,106.858,109.446,104.75,76.164,7.224,1.093,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-XZ,西藏,CN-R-SW,西南,98.218,99.923,95.815,99.645,106.138,109.42,74.153,7.234,1.046,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SN,陕西,CN-R-NW,西北,98.022,96.88,87.833,103.526,109.59,107.351,76.359,4.988,0.629,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-GS,甘肃,CN-R-NW,西北,103.729,102.24,100.913,105.269,116.166,106.768,74.385,5.671,0.145,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-QH,青海,CN-R-NW,西北,96.689,100.338,91.704,104.249,109.406,106.736,74.191,4.607,0.786,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-NX,宁夏,CN-R-NW,西北,98.811,102.087,88.216,104.905,110.427,105.445,74.716,7.415,-0.013,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-XJ,新疆,CN-R-NW,西北,101.338,104.905,96.2,109.345,114.984,108.638,75.246,4.633,0.589,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-GZ-GZ,广州,CN-GD,广东,105.595,107.299,101.312,112.017,118.321,116.516,73.888,6.707,0.171,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-GD-SZ,深圳,CN-GD,广东,102.414,104.257,98.512,106.459,114.535,114.699,75.745,7.284,0.838,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-ZJ-HZ,杭州,CN-ZJ,浙江,98.965,101.282,88.335,106.977,110.97,104.26,75.157,6.386,0.409,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-JS-NJ,南京,CN-JS,江苏,99.053,102.54,90.679,106.774,107.566,102.661,74.633,7.563,0.718,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-HB-WH,武汉,CN-HB,湖北,97.943,101.426,89.419,104.252,109.177,101.175,76.109,4.898,0.869,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-SC-CD,成都,CN-SC,四川,97.005,95.106,89.132,102.526,105.906,101.29,74.908,5.829,1.084,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-SN-XA,西安,CN-SN,陕西,98.868,102.369,95.042,102.015,115.221,103.043,76.853,5.3,0.281,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-JS-SZ,苏州,CN-JS,江苏,102.813,104.371,92.646,109.674,115.382,110.093,74.537,5.487,0.036,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-SD-QD,青岛,CN-SD,山东,99.448,98.72,89.624,108.388,110.024,107.254,75.998,5.098,0.569,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-ZJ-NB,宁波,CN-ZJ,浙江,105.11,107.734,102.184,108.623,114.108,111.746,76.26,5.993,0.085,国家统计局,2016-03-12,final
2016-03-01,2016,3,national,CN,中国,,,101.89,103.45,99.47,109.758,115.543,109.444,77.135,5.601,0.391,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-NC,华北,CN,中国,103.49,106.153,97.399,108.683,116.647,113.783,76.893,5.811,0.475,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-NE,东北,CN,中国,98.004,100.672,91.587,101.197,105.072,107.721,76.11,6.967,0.062,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-EC,华东,CN,中国,101.838,105.353,99.624,110.637,115.009,112.548,75.223,5.571,0.504,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-CC,华中,CN,中国,99.372,101.808,94.797,107.934,107.324,105.944,73.836,6.33,0.234,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-SC,华南,CN,中国,100.893,104.68,96.863,101.955,113.584,112.375,73.721,7.216,0.69,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-SW,西南,CN,中国,105.766,106.128,102.334,113.851,122.652,108.782,74.025,6.213,0.596,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-NW,西北,CN,中国,101.727,100.073,95.573,110.381,110.887,103.828,75.075,6.815,0.856,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-BJ,北京,CN-R-NC,华北,98.868,102.323,94.202,100.321,113.695,107.622,76.541,5.419,-0.049,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-TJ,天津,CN-R-NC,华北,100.505,100.487,98.02,103.144,110.287,106.88,74.751,6.996,0.961,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HE,河北,CN-R-NC,华北,104.852,106.692,97.227,107.799,120.824,110.658,74.667,5.236,0.652,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SX,山西,CN-R-NC,华北,102.463,106.283,99.229,106.874,116.742,107.341,73.724,7.0,0.882,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-NM,内蒙古,CN-R-NC,华北,103.497,106.981,96.669,111.66,116.198,113.536,73.098,4.908,0.185,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-LN,辽宁,CN-R-NE,东北,101.247,102.293,94.573,103.326,118.041,112.365,74.529,7.105,0.702,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-JL,吉林,CN-R-NE,东北,102.05,101.778,93.702,105.684,110.358,107.328,74.716,5.889,-0.092,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HL,黑龙江,CN-R-NE,东北,103.299,102.19,92.079,109.463,114.231,105.465,76.481,6.093,1.013,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SH,上海,CN-R-EC,华东,97.309,95.972,87.819,99.54,105.835,106.003,73.634,4.447,0.154,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-JS,江苏,CN-R-EC,华东,100.571,100.406,93.631,101.944,111.292,111.389,77.106,5.881,1.031,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-ZJ,浙江,CN-R-EC,华东,104.112,104.315,94.112,110.225,118.035,107.586,75.295,6.457,0.056,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-AH,安徽,CN-R-EC,华东,104.709,107.533,98.526,109.263,112.129,114.763,76.393,6.442,0.927,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-FJ,福建,CN-R-EC,华东,98.067,98.382,91.396,104.39,112.137,106.161,76.778,7.275,1.021,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-JX,江西,CN-R-EC,华东,106.562,106.925,101.602,112.589,116.011,117.056,73.605,5.512,0.673,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SD,山东,CN-R-EC,华东,102.632,101.518,98.092,109.166,117.914,109.375,73.277,5.273,0.394,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HA,河南,CN-R-CC,华中,100.663,98.688,92.671,102.503,111.257,105.875,75.28,5.811,0.177,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HB,湖北,CN-R-CC,华中,102.051,104.903,91.827,109.898,112.592,107.184,74.378,4.303,0.356,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HN,湖南,CN-R-CC,华中,102.377,101.544,93.943,109.499,114.239,113.962,74.795,4.693,0.689,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-GD,广东,CN-R-SC,华南,103.781,105.101,92.887,109.189,112.07,113.114,74.579,4.891,0.475,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-GX,广西,CN-R-SC,华南,97.572,98.947,90.108,102.095,108.661,106.289,76.367,4.804,0.485,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HI,海南,CN-R-SC,华南,100.852,101.641,99.802,102.028,113.938,112.297,76.996,6.494,-0.089,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-CQ,重庆,CN-R-SW,西南,98.669,101.296,94.5,102.077,113.232,107.92,75.963,7.111,1.041,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SC,四川,CN-R-SW,西南,99.298,101.373,92.75,104.825,115.481,104.407,74.616,5.303,-0.011,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-GZ,贵州,CN-R-SW,西南,100.584,99.022,97.837,101.949,109.382,110.437,75.666,6.329,-0.147,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-YN,云南,CN-R-SW,西南,105.608,109.701,96.316,113.037,117.325,115.583,76.413,6.663,0.189,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-XZ,西藏,CN-R-SW,西南,102.47,105.267,99.566,106.793,119.324,106.331,75.535,5.64,0.873,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SN,陕西,CN-R-NW,西北,103.567,107.306,94.625,112.128,113.295,115.252,73.799,5.103,0.076,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-GS,甘肃,CN-R-NW,西北,104.187,104.197,101.552,109.961,115.021,108.871,75.118,5.822,0.907,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-QH,青海,CN-R-NW,西北,101.931,101.005,97.168,104.211,111.558,113.856,73.448,6.682,0.035,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-NX,宁夏,CN-R-NW,西北,103.74,103.537,94.349,111.36,112.044,106.681,73.168,7.346,1.044,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-XJ,新疆,CN-R-NW,西北,100.175,98.738,97.603,106.372,110.718,105.175,75.183,5.028,0.608,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-GZ-GZ,广州,CN-GD,广东,98.042,97.444,94.333,99.711,106.985,102.843,77.296,7.418,0.821,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-GD-SZ,深圳,CN-GD,广东,104.663,105.106,97.197,111.919,118.351,114.85,77.285,5.878,0.855,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-ZJ-HZ,杭州,CN-ZJ,浙江,97.476,100.642,92.506,105.477,113.777,100.649,73.216,4.746,-0.0,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-JS-NJ,南京,CN-JS,江苏,106.532,106.755,100.654,110.757,119.555,119.097,73.856,5.392,0.65,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-HB-WH,武汉,CN-HB,湖北,105.655,107.408,94.172,114.13,115.596,112.546,76.189,6.332,-0.11,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-SC-CD,成都,CN-SC,四川,104.04,105.248,100.137,110.21,113.748,115.48,74.155,6.977,0.695,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-SN-XA,西安,CN-SN,陕西,100.271,104.028,93.422,107.71,116.997,110.847,77.264,5.522,0.329,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-JS-SZ,苏州,CN-JS,江苏,102.506,104.934,96.879,107.226,119.669,112.214,75.904,5.486,-0.063,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-SD-QD,青岛,CN-SD,山东,99.857,103.249,89.979,106.593,115.2,102.385,73.711,7.453,0.012,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-ZJ-NB,宁波,CN-ZJ,浙江,99.396,97.774,94.881,102.172,112.683,108.455,76.216,5.047,0.738,国家统计局,2016-04-10,final
2016-04-01,2016,4,national,CN,中国,,,102.423,105.547,97.275,109.027,111.241,113.883,76.146,5.805,0.293,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-NC,华北,CN,中国,98.566,100.803,92.218,104.519,111.796,101.118,76.327,4.409,0.059,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-NE,东北,CN,中国,98.783,100.659,94.6,105.507,106.855,101.578,74.884,4.55,0.904,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-EC,华东,CN,中国,106.873,106.72,101.317,113.0,118.679,116.545,76.547,5.743,0.125,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-CC,华中,CN,中国,104.991,107.638,99.476,107.398,118.313,111.699,76.849,4.176,1.063,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-SC,华南,CN,中国,98.631,101.551,92.176,104.679,106.567,105.286,75.465,4.768,0.727,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-SW,西南,CN,中国,102.71,100.763,101.652,104.617,111.904,107.681,76.632,4.086,0.817,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-NW,西北,CN,中国,101.196,103.58,91.887,102.243,110.594,106.877,77.224,5.805,0.95,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-BJ,北京,CN-R-NC,华北,100.986,99.702,91.751,107.183,110.67,104.943,73.381,6.275,1.068,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-TJ,天津,CN-R-NC,华北,101.755,102.821,95.214,104.652,112.112,103.948,74.986,4.15,0.604,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-HE,河北,CN-R-NC,华北,100.372,102.199,94.364,104.444,110.153,109.911,74.332,4.507,0.064,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-SX,山西,CN-R-NC,华北,106.16,105.074,98.378,111.681,122.347,114.174,73.315,4.953,0.634,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-NM,内蒙古,CN-R-NC,华北,102.592,105.437,98.442,108.7,116.624,109.333,74.033,6.878,1.133,国家统计局,2016-05-11,final
