ref_date,year,month,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,labor_force_10k,employed_10k,unemployed_10k,unemployment_rate_pct,youth_unemp_rate_pct,participation_rate_pct,avg_monthly_wage_cny,new_urban_jobs_10k,source_org,release_date,data_status
2016-01-01,2016,1,province,CN-GX,广西,CN-R-SC,华南,1817.89,1711.15,106.74,5.872,13.994,65.136,11509.66,1.94,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HI,海南,CN-R-SC,华南,538.64,509.34,29.29,5.439,14.065,65.771,12025.54,0.6,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-CQ,重庆,CN-R-SW,西南,2032.49,1933.88,98.61,4.852,14.786,65.416,8272.7,2.02,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SC,四川,CN-R-SW,西南,4484.84,4275.6,209.24,4.665,14.871,66.519,11385.99,4.48,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GZ,贵州,CN-R-SW,西南,1676.89,1590.32,86.58,5.163,14.99,66.946,8253.72,1.67,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-YN,云南,CN-R-SW,西南,1813.75,1716.33,97.42,5.371,15.314,65.872,10275.34,2.24,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-XZ,西藏,CN-R-SW,西南,204.34,192.45,11.88,5.815,13.844,65.691,11454.19,0.25,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SN,陕西,CN-R-NW,西北,2418.1,2301.7,116.41,4.814,14.203,66.403,11201.38,3.07,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GS,甘肃,CN-R-NW,西北,731.4,692.54,38.87,5.314,13.651,65.8,10689.35,0.95,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-QH,青海,CN-R-NW,西北,349.17,330.35,18.82,5.391,14.723,67.299,8534.1,0.45,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-NX,宁夏,CN-R-NW,西北,488.18,463.0,25.18,5.158,15.869,66.666,10422.17,0.64,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-XJ,新疆,CN-R-NW,西北,1125.34,1059.52,65.81,5.848,14.713,66.92,10404.53,1.14,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-GZ-GZ,广州,CN-GD,广东,1615.97,1523.24,92.73,5.738,15.086,65.103,7829.52,1.83,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-GD-SZ,深圳,CN-GD,广东,2072.3,1956.2,116.1,5.603,15.362,65.186,12132.86,2.2,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-ZJ-HZ,杭州,CN-ZJ,浙江,1247.07,1188.74,58.33,4.677,14.96,66.657,9869.23,1.5,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-JS-NJ,南京,CN-JS,江苏,1343.61,1283.09,60.51,4.504,15.277,67.297,8308.09,1.47,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-HB-WH,武汉,CN-HB,湖北,954.01,899.18,54.83,5.747,17.076,67.098,7778.26,1.06,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-SC-CD,成都,CN-SC,四川,1043.73,992.34,51.39,4.924,13.547,66.127,11785.75,1.25,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-SN-XA,西安,CN-SN,陕西,571.9,542.46,29.44,5.147,14.338,66.667,7723.0,0.72,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-JS-SZ,苏州,CN-JS,江苏,1955.92,1855.59,100.33,5.129,15.355,65.358,12026.28,2.53,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-SD-QD,青岛,CN-SD,山东,1265.93,1206.05,59.88,4.73,14.979,67.386,10249.18,1.26,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-ZJ-NB,宁波,CN-ZJ,浙江,849.53,808.35,41.19,4.848,15.632,66.926,10770.51,0.9,国家统计局,2016-02-10,final
2016-02-01,2016,2,national,CN,中国,,,87895.76,83046.12,4849.63,5.517,15.024,65.372,8092.39,102.19,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-NC,华北,CN,中国,10812.95,10154.8,658.15,6.087,15.411,65.629,11145.32,11.6,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-NE,东北,CN,中国,4204.14,3974.61,229.53,5.46,16.83,67.039,8007.63,4.78,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-EC,华东,CN,中国,35003.07,32851.55,2151.52,6.147,16.085,66.707,11883.64,36.73,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-CC,华中,CN,中国,11318.67,10652.09,666.59,5.889,14.984,67.214,9725.31,12.48,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-SC,华南,CN,中国,11782.05,11079.18,702.87,5.966,14.101,67.009,11389.88,12.41,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-SW,西南,CN,中国,10327.35,9749.46,577.88,5.596,15.386,66.447,8170.35,12.13,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-NW,西北,CN,中国,5173.28,4858.24,315.04,6.09,15.007,66.552,10163.67,6.54,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-BJ,北京,CN-R-NC,华北,3054.4,2885.5,168.9,5.53,13.684,67.058,10856.12,3.7,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-TJ,天津,CN-R-NC,华北,1242.53,1174.82,67.71,5.449,16.093,65.0,11305.26,1.39,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HE,河北,CN-R-NC,华北,3077.95,2898.16,179.79,5.841,16.049,65.234,11757.28,3.13,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SX,山西,CN-R-NC,华北,1818.69,1710.07,108.62,5.972,17.467,67.192,12321.13,1.91,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-NM,内蒙古,CN-R-NC,华北,1252.12,1182.25,69.87,5.58,14.757,65.04,12342.58,1.38,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-LN,辽宁,CN-R-NE,东北,2122.77,1994.48,128.29,6.043,16.272,64.972,12237.86,2.79,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-JL,吉林,CN-R-NE,东北,803.32,763.95,39.37,4.901,16.785,65.771,10914.09,0.94,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HL,黑龙江,CN-R-NE,东北,1167.89,1097.37,70.52,6.038,17.447,65.692,9047.11,1.39,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SH,上海,CN-R-EC,华东,3170.95,3015.06,155.89,4.916,15.173,65.521,8245.34,3.2,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-JS,江苏,CN-R-EC,华东,8994.29,8553.22,441.07,4.904,14.947,66.385,10429.85,11.83,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-ZJ,浙江,CN-R-EC,华东,6024.5,5675.88,348.62,5.787,16.213,65.042,9235.96,6.8,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-AH,安徽,CN-R-EC,华东,3362.8,3186.02,176.78,5.257,14.288,66.414,8633.6,3.48,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-FJ,福建,CN-R-EC,华东,3462.21,3250.96,211.25,6.102,14.822,66.531,10478.09,3.63,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-JX,江西,CN-R-EC,华东,2119.75,1993.54,126.21,5.954,15.441,65.771,9013.14,2.78,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SD,山东,CN-R-EC,华东,7701.39,7304.05,397.34,5.159,16.19,66.853,11403.01,8.13,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HA,河南,CN-R-CC,华中,4311.52,4082.89,228.63,5.303,16.947,67.091,11541.0,4.84,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HB,湖北,CN-R-CC,华中,4034.74,3834.22,200.52,4.97,14.467,66.312,9093.59,4.57,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HN,湖南,CN-R-CC,华中,3364.18,3168.77,195.4,5.808,17.214,65.372,8141.83,4.31,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-GD,广东,CN-R-SC,华南,9459.82,8982.57,477.24,5.045,16.643,65.829,8806.14,12.22,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-GX,广西,CN-R-SC,华南,1821.5,1713.62,107.88,5.923,13.615,65.072,11550.89,2.06,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HI,海南,CN-R-SC,华南,544.31,514.67,29.63,5.444,17.123,65.148,12068.63,0.67,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-CQ,重庆,CN-R-SW,西南,2084.71,1974.45,110.26,5.289,14.518,66.517,8302.34,2.61,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SC,四川,CN-R-SW,西南,4431.29,4185.15,246.14,5.555,13.921,65.86,11426.78,5.44,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-GZ,贵州,CN-R-SW,西南,1732.54,1632.98,99.56,5.746,16.111,67.007,8283.29,2.11,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-YN,云南,CN-R-SW,西南,1834.07,1724.46,109.61,5.976,14.077,66.263,10312.16,2.16,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-XZ,西藏,CN-R-SW,西南,199.42,187.28,12.14,6.087,15.312,66.394,11495.23,0.23,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SN,陕西,CN-R-NW,西北,2419.62,2302.16,117.47,4.855,16.151,66.21,11241.51,2.7,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-GS,甘肃,CN-R-NW,西北,763.94,720.1,43.84,5.739,14.599,65.398,10727.65,0.9,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-QH,青海,CN-R-NW,西北,344.55,323.49,21.06,6.111,15.465,65.638,8564.68,0.39,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-NX,宁夏,CN-R-NW,西北,466.74,439.05,27.69,5.933,17.208,65.711,10459.51,0.47,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-XJ,新疆,CN-R-NW,西北,1142.16,1079.45,62.71,5.491,14.853,67.232,10441.81,1.42,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-GZ-GZ,广州,CN-GD,广东,1609.18,1523.8,85.38,5.306,15.099,67.297,7857.57,1.96,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-GD-SZ,深圳,CN-GD,广东,2029.88,1909.93,119.95,5.909,16.491,66.093,12176.33,2.32,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-ZJ-HZ,杭州,CN-ZJ,浙江,1236.83,1170.82,66.01,5.337,13.85,65.897,9904.59,1.54,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-JS-NJ,南京,CN-JS,江苏,1279.59,1215.16,64.43,5.035,16.687,65.765,8337.85,1.54,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-HB-WH,武汉,CN-HB,湖北,941.21,893.17,48.04,5.105,15.006,65.258,7806.13,0.93,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-SC-CD,成都,CN-SC,四川,1037.11,986.35,50.76,4.895,16.764,65.148,11827.98,1.35,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-SN-XA,西安,CN-SN,陕西,562.12,534.89,27.22,4.843,14.712,66.874,7750.67,0.65,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-JS-SZ,苏州,CN-JS,江苏,1929.71,1819.68,110.03,5.702,15.717,66.626,12069.36,2.11,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-SD-QD,青岛,CN-SD,山东,1271.85,1195.55,76.3,5.999,14.916,66.972,10285.9,1.41,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-ZJ-NB,宁波,CN-ZJ,浙江,818.47,772.55,45.92,5.611,16.572,66.592,10809.09,0.98,国家统计局,2016-03-12,final
2016-03-01,2016,3,national,CN,中国,,,87743.44,83231.76,4511.68,5.142,17.921,65.496,8102.96,103.19,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-NC,华北,CN,中国,10379.51,9800.72,578.8,5.576,16.663,67.445,11159.88,13.93,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-NE,东北,CN,中国,4068.82,3835.04,233.78,5.746,14.87,67.01,8018.09,4.61,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-EC,华东,CN,中国,34500.91,32653.39,1847.53,5.355,14.706,66.725,11899.17,39.29,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-CC,华中,CN,中国,11798.13,11106.11,692.02,5.865,18.055,65.537,9738.01,15.94,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-SC,华南,CN,中国,11324.71,10709.36,615.35,5.434,17.187,66.652,11404.77,11.46,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-SW,西南,CN,中国,10125.83,9523.92,601.9,5.944,14.674,65.289,8181.03,13.29,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-NW,西北,CN,中国,5103.12,4838.51,264.61,5.185,17.326,67.277,10176.95,6.17,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-BJ,北京,CN-R-NC,华北,3173.52,2997.19,176.33,5.556,16.708,66.22,10870.31,4.04,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-TJ,天津,CN-R-NC,华北,1218.18,1145.75,72.43,5.946,15.897,65.513,11320.03,1.46,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HE,河北,CN-R-NC,华北,3168.89,2984.97,183.92,5.804,17.84,65.585,11772.65,3.63,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SX,山西,CN-R-NC,华北,1743.74,1642.07,101.67,5.83,16.322,66.964,12337.23,2.34,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-NM,内蒙古,CN-R-NC,华北,1247.08,1182.89,64.19,5.147,15.149,65.688,12358.71,1.57,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-LN,辽宁,CN-R-NE,东北,2151.7,2045.57,106.13,4.932,17.323,67.384,12253.85,2.53,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-JL,吉林,CN-R-NE,东北,825.67,786.01,39.66,4.803,16.775,65.822,10928.35,1.1,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HL,黑龙江,CN-R-NE,东北,1174.54,1110.52,64.02,5.451,17.927,66.586,9058.93,1.51,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SH,上海,CN-R-EC,华东,3254.89,3082.65,172.24,5.292,17.231,65.884,8256.11,3.95,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-JS,江苏,CN-R-EC,华东,8934.49,8453.84,480.65,5.38,17.628,65.936,10443.47,11.18,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-ZJ,浙江,CN-R-EC,华东,5815.39,5545.47,269.92,4.642,18.184,67.497,9248.03,7.11,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-AH,安徽,CN-R-EC,华东,3281.3,3121.55,159.75,4.869,18.347,66.493,8644.88,4.16,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-FJ,福建,CN-R-EC,华东,3533.06,3336.41,196.65,5.566,15.942,66.25,10491.78,3.76,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-JX,江西,CN-R-EC,华东,2130.89,2004.43,126.46,5.935,15.597,67.38,9024.91,2.65,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SD,山东,CN-R-EC,华东,7995.16,7557.32,437.84,5.476,18.197,65.942,11417.9,10.01,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HA,河南,CN-R-CC,华中,4157.64,3946.51,211.13,5.078,17.542,65.584,11556.08,5.2,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HB,湖北,CN-R-CC,华中,4067.67,3834.1,233.56,5.742,16.3,65.267,9105.48,5.15,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HN,湖南,CN-R-CC,华中,3452.91,3281.21,171.69,4.972,18.479,66.296,8152.47,3.93,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-GD,广东,CN-R-SC,华南,9200.89,8742.37,458.52,4.983,16.587,65.99,8817.65,9.6,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-GX,广西,CN-R-SC,华南,1808.99,1713.21,95.78,5.294,17.394,65.803,11565.99,2.31,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HI,海南,CN-R-SC,华南,531.96,507.06,24.91,4.682,17.377,65.243,12084.39,0.68,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-CQ,重庆,CN-R-SW,西南,2095.17,1979.83,115.33,5.505,17.834,65.922,8313.19,2.71,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SC,四川,CN-R-SW,西南,4441.23,4205.83,235.4,5.3,16.441,66.997,11441.71,5.76,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-GZ,贵州,CN-R-SW,西南,1671.71,1573.21,98.5,5.892,14.794,65.703,8294.12,2.25,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-YN,云南,CN-R-SW,西南,1820.35,1732.78,87.56,4.81,16.509,66.321,10325.63,2.03,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-XZ,西藏,CN-R-SW,西南,199.41,188.92,10.48,5.258,16.736,65.386,11510.25,0.26,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SN,陕西,CN-R-NW,西北,2381.19,2243.61,137.58,5.778,16.164,65.849,11256.2,2.69,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-GS,甘肃,CN-R-NW,西北,731.74,695.88,35.86,4.901,18.16,65.845,10741.67,0.93,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-QH,青海,CN-R-NW,西北,342.84,325.26,17.58,5.129,16.926,67.183,8575.87,0.43,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-NX,宁夏,CN-R-NW,西北,471.92,444.52,27.4,5.807,14.603,66.808,10473.17,0.53,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-XJ,新疆,CN-R-NW,西北,1183.17,1113.03,70.14,5.928,15.885,66.221,10455.45,1.55,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-GZ-GZ,广州,CN-GD,广东,1625.27,1539.45,85.82,5.281,16.244,65.785,7867.84,1.99,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-GD-SZ,深圳,CN-GD,广东,1970.73,1875.57,95.16,4.829,16.816,66.023,12192.24,2.18,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-ZJ-HZ,杭州,CN-ZJ,浙江,1280.48,1209.52,70.96,5.542,17.967,66.533,9917.53,1.5,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-JS-NJ,南京,CN-JS,江苏,1303.98,1235.7,68.28,5.236,15.761,66.388,8348.74,1.4,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-HB-WH,武汉,CN-HB,湖北,976.09,919.19,56.89,5.829,16.455,65.847,7816.33,1.15,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-SC-CD,成都,CN-SC,四川,1073.33,1019.28,54.05,5.036,16.408,67.456,11843.43,1.11,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-SN-XA,西安,CN-SN,陕西,580.68,549.74,30.94,5.328,15.719,65.177,7760.79,0.63,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-JS-SZ,苏州,CN-JS,江苏,1904.69,1804.19,100.5,5.276,18.344,65.634,12085.13,2.04,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-SD-QD,青岛,CN-SD,山东,1269.75,1208.64,61.11,4.813,15.5,66.652,10299.34,1.65,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-ZJ-NB,宁波,CN-ZJ,浙江,824.99,779.26,45.73,5.543,17.286,67.517,10823.22,1.06,国家统计局,2016-04-10,final
2016-04-01,2016,4,national,CN,中国,,,87833.55,83363.69,4469.87,5.089,17.713,65.92,8092.39,103.21,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-NC,华北,CN,中国,10490.89,9889.04,601.85,5.737,16.225,65.364,11145.32,13.41,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-NE,东北,CN,中国,4017.75,3779.28,238.47,5.935,16.676,65.518,8007.63,4.1,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-EC,华东,CN,中国,34738.94,32654.94,2084.0,5.999,16.107,66.095,11883.64,43.44,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-CC,华中,CN,中国,11533.86,10920.77,613.1,5.316,15.611,65.099,9725.31,13.87,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-SC,华南,CN,中国,11316.33,10683.77,632.56,5.59,16.05,65.491,11389.88,12.94,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-SW,西南,CN,中国,9955.68,9474.13,481.55,4.837,14.719,66.349,8170.35,12.26,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-NW,西北,CN,中国,5275.24,5025.05,250.19,4.743,18.389,65.605,10163.67,5.38,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-BJ,北京,CN-R-NC,华北,3055.42,2901.02,154.41,5.053,14.632,66.67,10856.12,4.03,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-TJ,天津,CN-R-NC,华北,1238.39,1167.85,70.54,5.696,15.04,65.245,11305.26,1.34,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-HE,河北,CN-R-NC,华北,3100.74,2911.78,188.96,6.094,17.462,65.296,11757.28,3.59,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-SX,山西,CN-R-NC,华北,1735.32,1635.77,99.55,5.737,18.226,66.568,12321.13,1.76,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-NM,内蒙古,CN-R-NC,华北,1227.54,1167.91,59.63,4.858,15.12,67.316,12342.58,1.28,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-LN,辽宁,CN-R-NE,东北,2172.78,2054.15,118.63,5.46,14.933,66.194,12237.86,2.8,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-JL,吉林,CN-R-NE,东北,825.85,778.42,47.43,5.743,17.273,65.939,10914.09,0.99,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-HL,黑龙江,CN-R-NE,东北,1161.51,1102.13,59.38,5.112,14.537,66.77,9047.11,1.27,国家统计局,2016-05-11,final
