ref_date,year,month,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,policy_rate_pct,lpr_1y_pct,lpr_5y_pct,repo_7d_pct,bond_1y_pct,bond_10y_pct,yield_spread_10y_1y_bps,real_policy_rate_pct,source_org,release_date,data_status
2020-03-01,2020,3,national,CN,中国,,,2.35,3.336,3.7,2.066,2.054,2.595,54,0.365,中国人民银行,2020-04-10,final
2020-04-01,2020,4,national,CN,中国,,,2.369,3.3,3.776,2.005,1.945,2.585,64,0.561,中国人民银行,2020-05-11,final
2020-05-01,2020,5,national,CN,中国,,,2.379,3.321,3.784,2.024,1.992,2.571,58,0.616,中国人民银行,2020-06-10,final
2020-06-01,2020,6,national,CN,中国,,,2.385,3.289,3.709,1.924,1.819,2.344,53,1.337,中国人民银行,2020-07-11,final
2020-07-01,2020,7,national,CN,中国,,,2.35,3.358,3.77,1.856,1.954,2.336,38,1.27,中国人民银行,2020-08-10,final
2020-08-01,2020,8,national,CN,中国,,,2.345,3.302,3.766,1.72,1.87,2.409,54,1.527,中国人民银行,2020-09-10,final
2020-09-01,2020,9,national,CN,中国,,,2.347,3.353,3.733,1.733,1.776,2.392,62,1.692,中国人民银行,2020-10-11,final
2020-10-01,2020,10,national,CN,中国,,,2.342,3.348,3.726,1.761,1.783,2.267,48,1.74,中国人民银行,2020-11-10,final
2020-11-01,2020,11,national,CN,中国,,,2.379,3.299,3.703,1.841,1.755,2.389,63,1.183,中国人民银行,2020-12-11,final
2020-12-01,2020,12,national,CN,中国,,,2.391,3.358,3.792,1.769,1.885,2.512,63,1.35,中国人民银行,2021-01-10,final
2021-01-01,2021,1,national,CN,中国,,,2.35,3.251,3.751,1.834,1.996,2.576,58,0.821,中国人民银行,2021-02-10,final
2021-02-01,2021,2,national,CN,中国,,,2.354,3.27,3.654,1.923,2.041,2.527,49,0.283,中国人民银行,2021-03-13,final
2021-03-01,2021,3,national,CN,中国,,,2.361,3.267,3.69,1.977,2.082,2.659,58,0.531,中国人民银行,2021-04-10,final
2021-04-01,2021,4,national,CN,中国,,,2.325,3.266,3.708,1.973,2.057,2.614,56,0.482,中国人民银行,2021-05-11,final
2021-05-01,2021,5,national,CN,中国,,,2.37,3.255,3.654,1.938,1.996,2.56,56,0.594,中国人民银行,2021-06-10,final
2021-06-01,2021,6,national,CN,中国,,,2.338,3.313,3.727,1.805,1.953,2.404,45,1.159,中国人民银行,2021-07-11,final
2021-07-01,2021,7,national,CN,中国,,,2.37,3.347,3.745,1.776,1.805,2.52,72,1.009,中国人民银行,2021-08-10,final
2021-08-01,2021,8,national,CN,中国,,,2.339,3.32,3.645,1.739,1.716,2.409,69,1.542,中国人民银行,2021-09-10,final
2021-09-01,2021,9,national,CN,中国,,,2.322,3.289,3.653,1.739,1.899,2.325,43,1.212,中国人民银行,2021-10-11,final
2021-10-01,2021,10,national,CN,中国,,,2.361,3.258,3.649,1.764,1.726,2.333,61,1.622,中国人民银行,2021-11-10,final
2021-11-01,2021,11,national,CN,中国,,,2.332,3.283,3.716,1.804,1.75,2.324,57,1.209,中国人民银行,2021-12-11,final
2021-12-01,2021,12,national,CN,中国,,,2.349,3.302,3.683,1.843,1.822,2.34,52,0.859,中国人民银行,2022-01-10,final
2022-01-01,2022,1,national,CN,中国,,,2.336,3.268,3.626,1.889,2.031,2.422,39,0.446,中国人民银行,2022-02-10,final
2022-02-01,2022,2,national,CN,中国,,,2.336,3.264,3.63,1.98,1.964,2.432,47,0.521,中国人民银行,2022-03-13,final
2022-03-01,2022,3,national,CN,中国,,,2.307,3.245,3.664,2.048,1.936,2.568,63,0.467,中国人民银行,2022-04-10,final
2022-04-01,2022,4,national,CN,中国,,,2.305,3.223,3.646,1.998,1.928,2.442,51,0.235,中国人民银行,2022-05-11,final
2022-05-01,2022,5,national,CN,中国,,,2.328,3.275,3.592,1.916,1.916,2.394,48,0.578,中国人民银行,2022-06-10,final
2022-06-01,2022,6,national,CN,中国,,,2.325,3.252,3.62,1.946,1.872,2.441,57,0.796,中国人民银行,2022-07-11,final
2022-07-01,2022,7,national,CN,中国,,,2.308,3.319,3.696,1.866,1.785,2.355,57,1.167,中国人民银行,2022-08-10,final
2022-08-01,2022,8,national,CN,中国,,,2.353,3.273,3.697,1.744,1.825,2.466,64,1.249,中国人民银行,2022-09-10,final
2022-09-01,2022,9,national,CN,中国,,,2.306,3.292,3.683,1.619,1.762,2.426,66,1.123,中国人民银行,2022-10-11,final
2022-10-01,2022,10,national,CN,中国,,,2.353,3.291,3.64,1.654,1.831,2.44,61,1.383,中国人民银行,2022-11-10,final
2022-11-01,2022,11,national,CN,中国,,,2.313,3.238,3.628,1.832,1.771,2.313,54,1.258,中国人民银行,2022-12-11,final
2022-12-01,2022,12,national,CN,中国,,,2.341,3.261,3.615,1.788,1.837,2.487,65,0.938,中国人民银行,2023-01-10,final
2023-01-01,2023,1,national,CN,中国,,,2.325,3.219,3.605,2.011,1.943,2.394,45,0.366,中国人民银行,2023-02-10,final
2023-02-01,2023,2,national,CN,中国,,,2.339,3.238,3.616,2.06,1.963,2.598,63,0.34,中国人民银行,2023-03-13,final
2023-03-01,2023,3,national,CN,中国,,,2.327,3.239,3.572,1.989,1.997,2.585,59,0.328,中国人民银行,2023-04-10,final
2023-04-01,2023,4,national,CN,中国,,,2.283,3.255,3.615,1.885,2.033,2.523,49,0.392,中国人民银行,2023-05-11,final
2023-05-01,2023,5,national,CN,中国,,,2.293,3.252,3.55,1.999,1.904,2.558,65,0.589,中国人民银行,2023-06-10,final
2023-06-01,2023,6,national,CN,中国,,,2.337,3.256,3.548,1.946,1.825,2.539,71,0.538,中国人民银行,2023-07-11,final
2023-07-01,2023,7,national,CN,中国,,,2.336,3.208,3.634,1.806,1.754,2.297,54,1.121,中国人民银行,2023-08-10,final
2023-08-01,2023,8,national,CN,中国,,,2.282,3.2,3.55,1.807,1.792,2.475,68,1.246,中国人民银行,2023-09-10,final
2023-09-01,2023,9,national,CN,中国,,,2.299,3.286,3.639,1.664,1.772,2.368,60,1.258,中国人民银行,2023-10-11,final
2023-10-01,2023,10,national,CN,中国,,,2.294,3.215,3.62,1.708,1.909,2.452,54,0.848,中国人民银行,2023-11-10,final
2023-11-01,2023,11,national,CN,中国,,,2.299,3.234,3.648,1.788,1.788,2.402,61,1.045,中国人民银行,2023-12-11,final
2023-12-01,2023,12,national,CN,中国,,,2.298,3.221,3.576,1.766,1.888,2.467,58,0.574,中国人民银行,2024-01-10,final
2024-01-01,2024,1,national,CN,中国,,,2.282,3.241,3.591,1.975,1.86,2.562,70,0.496,中国人民银行,2024-02-10,final
2024-02-01,2024,2,national,CN,中国,,,2.299,3.257,3.5,1.995,1.886,2.426,54,-0.048,中国人民银行,2024-03-12,final
2024-03-01,2024,3,national,CN,中国,,,2.269,3.228,3.515,2.08,2.049,2.433,38,0.168,中国人民银行,2024-04-10,final
2024-04-01,2024,4,national,CN,中国,,,2.266,3.245,3.526,1.935,1.907,2.442,54,-0.057,中国人民银行,2024-05-11,final
2024-05-01,2024,5,national,CN,中国,,,2.278,3.239,3.555,1.999,1.941,2.497,56,0.169,中国人民银行,2024-06-10,final
2024-06-01,2024,6,national,CN,中国,,,2.287,3.255,3.582,1.776,1.813,2.381,57,0.466,中国人民银行,2024-07-11,final
2024-07-01,2024,7,national,CN,中国,,,2.291,3.226,3.585,1.827,1.861,2.324,46,0.701,中国人民银行,2024-08-10,final
2024-08-01,2024,8,national,CN,中国,,,2.31,3.2,3.561,1.632,1.743,2.273,53,0.896,中国人民银行,2024-09-10,final
2024-09-01,2024,9,national,CN,中国,,,2.307,3.2,3.515,1.798,1.716,2.312,60,1.066,中国人民银行,2024-10-11,final
2024-10-01,2024,10,national,CN,中国,,,2.265,3.242,3.507,1.745,1.713,2.304,59,0.862,中国人民银行,2024-11-10,final
2024-11-01,2024,11,national,CN,中国,,,2.295,3.203,3.546,1.684,1.794,2.463,67,0.647,中国人民银行,2024-12-11,final
2024-12-01,2024,12,national,CN,中国,,,2.278,3.231,3.577,1.913,1.81,2.365,55,0.546,中国人民银行,2025-01-10,final
2025-01-01,2025,1,national,CN,中国,,,2.289,3.2,3.558,1.994,1.902,2.522,62,0.171,中国人民银行,2025-02-10,final
2025-02-01,2025,2,national,CN,中国,,,2.272,3.2,3.452,1.925,2.067,2.438,37,0.136,中国人民银行,2025-03-13,final
2025-03-01,2025,3,national,CN,中国,,,2.273,3.2,3.469,1.963,2.006,2.632,63,-0.219,中国人民银行,2025-04-10,final
2025-04-01,2025,4,national,CN,中国,,,2.294,3.2,3.458,2.038,1.89,2.505,62,0.051,中国人民银行,2025-05-11,final
2025-05-01,2025,5,national,CN,中国,,,2.264,3.2,3.465,1.991,1.883,2.405,52,-0.01,中国人民银行,2025-06-10,final
2025-06-01,2025,6,national,CN,中国,,,2.276,3.204,3.515,1.865,1.929,2.483,55,0.357,中国人民银行,2025-07-11,final
2025-07-01,2025,7,national,CN,中国,,,2.25,3.2,3.482,1.735,1.794,2.347,55,0.722,中国人民银行,2025-08-10,revised
2025-08-01,2025,8,national,CN,中国,,,2.25,3.2,3.467,1.806,1.889,2.468,58,0.842,中国人民银行,2025-09-10,revised
2025-09-01,2025,9,national,CN,中国,,,2.276,3.22,3.46,1.652,1.819,2.438,62,0.845,中国人民银行,2025-10-11,revised
2025-10-01,2025,10,national,CN,中国,,,2.279,3.215,3.504,1.621,1.732,2.442,71,1.033,中国人民银行,2025-11-10,preliminary
2025-11-01,2025,11,national,CN,中国,,,2.282,3.208,3.554,1.864,1.926,2.36,43,0.701,中国人民银行,2025-12-11,preliminary
2025-12-01,2025,12,national,CN,中国,,,2.285,3.2,3.487,1.799,1.86,2.467,61,0.321,中国人民银行,2026-01-10,preliminary
