ref_date,year,month,geo_level,geo_code,geo_name,parent_geo_code,parent_geo_name,overall_cpi_idx,food_cpi_idx,energy_cpi_idx,core_cpi_idx,services_cpi_idx,yoy_change_pct,mom_change_pct,base_period,source_org,release_date,data_status
2016-01-01,2016,1,province,CN-JL,吉林,CN-R-NE,东北,99.64,101.168,99.223,99.56,100.592,1.29,0.073,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HL,黑龙江,CN-R-NE,东北,99.652,101.762,97.816,99.25,100.423,1.346,-0.248,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SH,上海,CN-R-EC,华东,100.657,100.658,102.587,100.224,100.766,0.433,0.221,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-JS,江苏,CN-R-EC,华东,99.125,99.567,96.446,98.338,99.763,1.48,-0.058,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-ZJ,浙江,CN-R-EC,华东,101.619,99.45,99.626,101.582,101.772,0.315,0.005,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-AH,安徽,CN-R-EC,华东,100.483,99.021,101.768,99.682,101.148,1.101,-0.178,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-FJ,福建,CN-R-EC,华东,100.721,101.315,101.051,99.727,100.87,1.7,0.018,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-JX,江西,CN-R-EC,华东,100.131,98.898,99.616,99.112,100.592,0.195,-0.092,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SD,山东,CN-R-EC,华东,99.945,98.946,98.687,98.862,100.956,0.154,0.288,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HA,河南,CN-R-CC,华中,100.581,101.58,103.58,99.718,100.753,1.002,-0.078,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HB,湖北,CN-R-CC,华中,100.203,99.14,99.977,100.012,100.926,0.488,-0.336,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HN,湖南,CN-R-CC,华中,99.007,98.445,99.711,98.041,99.654,0.327,-0.243,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GD,广东,CN-R-SC,华南,100.539,101.919,99.639,99.658,101.663,1.325,0.15,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GX,广西,CN-R-SC,华南,99.852,97.847,102.888,99.817,100.181,1.504,0.126,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-HI,海南,CN-R-SC,华南,99.477,99.871,99.377,99.544,100.928,0.647,-0.227,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-CQ,重庆,CN-R-SW,西南,98.947,98.004,100.109,98.027,98.886,0.791,-0.104,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SC,四川,CN-R-SW,西南,99.382,97.399,99.754,99.161,100.33,1.49,-0.271,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GZ,贵州,CN-R-SW,西南,98.701,100.165,99.043,98.679,100.063,1.696,-0.144,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-YN,云南,CN-R-SW,西南,100.523,98.488,101.236,100.005,101.633,1.492,0.386,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-XZ,西藏,CN-R-SW,西南,100.447,100.933,98.648,99.869,100.785,1.644,-0.101,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-SN,陕西,CN-R-NW,西北,101.237,102.557,101.071,100.531,101.663,0.573,-0.284,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-GS,甘肃,CN-R-NW,西北,100.46,101.099,100.127,99.785,100.706,0.134,0.011,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-QH,青海,CN-R-NW,西北,101.007,101.284,103.814,100.333,101.731,1.064,-0.094,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-NX,宁夏,CN-R-NW,西北,100.185,100.988,99.381,99.598,100.97,1.824,-0.087,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,province,CN-XJ,新疆,CN-R-NW,西北,99.964,99.888,100.128,99.966,100.748,0.891,-0.239,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-GZ-GZ,广州,CN-GD,广东,100.997,102.379,100.945,99.957,102.357,0.662,0.333,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-GD-SZ,深圳,CN-GD,广东,100.181,102.194,100.834,99.559,100.84,0.743,0.445,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-ZJ-HZ,杭州,CN-ZJ,浙江,99.592,100.817,96.915,98.614,99.605,1.52,-0.142,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-JS-NJ,南京,CN-JS,江苏,99.591,99.617,102.219,98.832,100.86,0.13,-0.308,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-HB-WH,武汉,CN-HB,湖北,100.148,100.996,99.968,99.08,100.653,1.14,0.252,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-SC-CD,成都,CN-SC,四川,100.291,101.97,101.018,100.018,101.659,1.522,-0.287,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-SN-XA,西安,CN-SN,陕西,100.111,100.941,101.848,100.154,100.627,1.826,0.012,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-JS-SZ,苏州,CN-JS,江苏,100.542,98.964,99.366,100.044,101.197,0.351,0.268,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-SD-QD,青岛,CN-SD,山东,100.515,101.008,102.326,99.595,101.483,0.981,-0.176,2016-01=100,国家统计局,2016-02-10,final
2016-01-01,2016,1,city,CN-ZJ-NB,宁波,CN-ZJ,浙江,101.471,100.962,102.535,101.239,101.973,0.812,0.196,2016-01=100,国家统计局,2016-02-10,final
2016-02-01,2016,2,national,CN,中国,,,100.751,99.899,97.671,100.473,102.168,1.294,0.319,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-NC,华北,CN,中国,99.31,101.192,102.198,99.402,100.075,0.993,0.526,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-NE,东北,CN,中国,99.286,98.267,102.441,98.415,100.19,0.886,0.118,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-EC,华东,CN,中国,100.617,100.956,99.249,100.386,100.655,1.731,-0.037,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-CC,华中,CN,中国,100.328,98.215,99.451,100.002,100.931,0.828,0.187,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-SC,华南,CN,中国,99.858,100.022,101.95,99.03,100.567,1.236,-0.054,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-SW,西南,CN,中国,101.652,102.665,104.655,101.421,102.605,0.629,0.073,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,region,CN-R-NW,西北,CN,中国,99.294,100.334,97.447,98.216,99.518,0.862,0.116,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-BJ,北京,CN-R-NC,华北,101.398,99.208,101.685,101.226,102.469,1.958,0.569,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-TJ,天津,CN-R-NC,华北,101.358,99.25,99.782,100.453,102.672,2.173,0.076,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HE,河北,CN-R-NC,华北,101.163,103.31,102.044,101.191,102.394,0.695,0.508,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SX,山西,CN-R-NC,华北,99.24,99.423,99.857,99.044,100.204,1.867,0.561,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-NM,内蒙古,CN-R-NC,华北,101.215,101.606,104.017,100.827,102.367,1.948,0.547,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-LN,辽宁,CN-R-NE,东北,99.73,98.301,101.676,99.239,100.763,2.071,0.362,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-JL,吉林,CN-R-NE,东北,99.976,97.846,98.63,99.483,100.808,0.757,0.021,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HL,黑龙江,CN-R-NE,东北,99.463,99.176,98.156,98.82,99.746,0.673,0.292,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SH,上海,CN-R-EC,华东,100.779,101.608,103.069,100.062,101.098,1.638,0.711,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-JS,江苏,CN-R-EC,华东,100.144,101.66,101.626,99.31,101.075,0.573,0.184,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-ZJ,浙江,CN-R-EC,华东,101.227,102.022,98.516,100.672,101.972,0.5,0.235,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-AH,安徽,CN-R-EC,华东,100.939,101.107,99.565,100.944,100.935,0.831,0.506,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-FJ,福建,CN-R-EC,华东,100.781,102.61,99.62,99.881,101.868,2.152,0.664,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-JX,江西,CN-R-EC,华东,100.099,102.255,96.942,100.19,100.338,0.404,0.518,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SD,山东,CN-R-EC,华东,100.103,98.005,103.29,100.164,100.691,1.116,0.033,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HA,河南,CN-R-CC,华中,100.907,100.497,99.352,100.808,101.848,1.932,0.252,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HB,湖北,CN-R-CC,华中,100.025,100.092,97.026,99.277,100.091,1.722,0.068,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HN,湖南,CN-R-CC,华中,99.193,100.278,101.055,99.231,99.823,1.424,0.452,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-GD,广东,CN-R-SC,华南,100.9,102.405,103.623,100.128,101.185,1.386,-0.038,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-GX,广西,CN-R-SC,华南,99.757,101.645,101.781,99.446,100.703,0.69,0.565,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-HI,海南,CN-R-SC,华南,99.338,99.928,98.175,98.354,100.346,0.439,0.465,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-CQ,重庆,CN-R-SW,西南,99.691,101.484,97.551,98.607,99.921,2.006,0.492,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SC,四川,CN-R-SW,西南,100.034,98.949,97.147,100.042,100.622,2.163,0.468,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-GZ,贵州,CN-R-SW,西南,99.582,98.686,100.01,99.517,99.88,0.874,0.519,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-YN,云南,CN-R-SW,西南,101.474,100.303,101.977,101.261,102.56,0.726,0.355,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-XZ,西藏,CN-R-SW,西南,100.176,100.488,98.0,100.259,100.736,1.972,0.374,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-SN,陕西,CN-R-NW,西北,101.601,101.917,98.46,101.007,101.979,1.834,0.519,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-GS,甘肃,CN-R-NW,西北,100.712,102.625,101.425,100.239,101.327,0.445,0.613,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-QH,青海,CN-R-NW,西北,100.99,101.541,98.38,101.001,101.291,1.437,0.427,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-NX,宁夏,CN-R-NW,西北,100.808,99.629,100.932,99.865,100.831,2.117,0.686,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,province,CN-XJ,新疆,CN-R-NW,西北,100.159,100.095,102.418,99.629,100.247,0.533,0.691,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-GZ-GZ,广州,CN-GD,广东,101.275,100.172,102.027,101.043,102.255,1.607,0.399,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-GD-SZ,深圳,CN-GD,广东,100.224,100.473,103.366,99.44,100.827,1.256,0.481,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-ZJ-HZ,杭州,CN-ZJ,浙江,100.286,99.017,98.733,100.194,101.726,1.285,0.677,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-JS-NJ,南京,CN-JS,江苏,99.975,102.164,101.496,99.606,101.351,1.818,0.191,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-HB-WH,武汉,CN-HB,湖北,100.045,102.109,97.822,99.654,100.21,1.489,0.629,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-SC-CD,成都,CN-SC,四川,101.286,100.928,99.856,100.983,101.665,2.101,0.29,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-SN-XA,西安,CN-SN,陕西,99.902,99.565,101.787,99.893,100.602,0.471,0.217,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-JS-SZ,苏州,CN-JS,江苏,100.902,101.426,103.496,100.597,100.873,1.535,0.271,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-SD-QD,青岛,CN-SD,山东,100.937,100.047,102.152,100.129,101.482,1.746,0.283,2016-01=100,国家统计局,2016-03-12,final
2016-02-01,2016,2,city,CN-ZJ-NB,宁波,CN-ZJ,浙江,101.74,103.382,101.045,101.617,102.192,2.083,0.019,2016-01=100,国家统计局,2016-03-12,final
2016-03-01,2016,3,national,CN,中国,,,100.747,102.798,103.202,100.467,102.244,1.179,0.384,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-NC,华北,CN,中国,100.252,101.169,101.938,99.756,101.142,1.326,0.434,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-NE,东北,CN,中国,99.593,101.716,100.894,99.066,99.55,1.058,0.646,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-EC,华东,CN,中国,100.146,101.092,101.384,99.512,100.845,1.421,0.069,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-CC,华中,CN,中国,100.28,99.314,103.271,99.995,101.578,1.655,0.455,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-SC,华南,CN,中国,100.653,99.244,103.01,99.96,102.0,0.417,0.527,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-SW,西南,CN,中国,101.518,99.743,98.376,101.418,102.515,1.966,0.09,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,region,CN-R-NW,西北,CN,中国,99.968,98.469,97.51,99.155,100.393,0.752,0.049,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-BJ,北京,CN-R-NC,华北,101.081,98.949,99.32,100.05,101.5,1.578,0.752,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-TJ,天津,CN-R-NC,华北,101.334,99.737,104.452,101.375,102.827,0.728,0.571,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HE,河北,CN-R-NC,华北,101.36,102.943,98.388,101.032,102.222,0.28,0.348,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SX,山西,CN-R-NC,华北,99.38,100.173,96.431,98.381,99.426,2.0,0.718,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-NM,内蒙古,CN-R-NC,华北,101.521,103.624,103.978,100.774,102.123,1.372,0.645,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-LN,辽宁,CN-R-NE,东北,100.082,99.005,98.149,99.211,100.613,1.389,0.534,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-JL,吉林,CN-R-NE,东北,100.242,101.441,102.886,99.49,101.652,1.605,0.573,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HL,黑龙江,CN-R-NE,东北,99.917,101.077,96.868,99.615,100.147,0.623,0.042,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SH,上海,CN-R-EC,华东,101.301,102.422,101.85,100.477,102.049,1.1,0.145,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-JS,江苏,CN-R-EC,华东,100.258,101.891,100.384,99.639,100.393,1.811,0.323,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-ZJ,浙江,CN-R-EC,华东,102.162,101.988,102.617,102.007,102.778,1.114,0.167,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-AH,安徽,CN-R-EC,华东,101.355,102.72,101.001,100.56,101.748,0.863,0.758,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-FJ,福建,CN-R-EC,华东,101.128,101.941,98.482,100.75,102.083,1.459,0.697,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-JX,江西,CN-R-EC,华东,100.665,101.542,100.292,100.223,101.46,0.542,0.674,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SD,山东,CN-R-EC,华东,100.591,101.988,99.435,100.619,100.573,0.873,-0.003,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HA,河南,CN-R-CC,华中,101.56,102.999,103.53,100.65,101.991,0.558,0.293,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HB,湖北,CN-R-CC,华中,100.078,102.149,97.037,100.158,100.137,1.906,0.692,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HN,湖南,CN-R-CC,华中,99.572,100.261,96.445,99.206,99.613,1.944,0.158,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-GD,广东,CN-R-SC,华南,101.361,102.929,99.418,100.27,102.75,0.997,0.093,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-GX,广西,CN-R-SC,华南,100.416,98.96,101.651,100.466,100.817,0.596,0.217,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-HI,海南,CN-R-SC,华南,99.914,98.849,103.064,98.874,100.4,1.366,0.159,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-CQ,重庆,CN-R-SW,西南,99.763,99.328,99.256,99.565,100.509,0.628,0.212,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SC,四川,CN-R-SW,西南,100.065,101.575,101.284,99.13,100.234,0.993,0.106,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-GZ,贵州,CN-R-SW,西南,99.472,101.273,99.837,98.943,100.316,1.158,0.344,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-YN,云南,CN-R-SW,西南,101.121,99.771,98.411,100.098,101.771,0.642,0.316,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-XZ,西藏,CN-R-SW,西南,100.689,102.677,101.102,99.597,100.685,1.45,0.631,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-SN,陕西,CN-R-NW,西北,101.468,100.552,101.254,100.411,101.874,1.402,0.285,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-GS,甘肃,CN-R-NW,西北,101.173,102.034,100.981,100.49,102.269,0.664,0.257,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-QH,青海,CN-R-NW,西北,101.713,100.579,101.475,101.748,102.109,0.9,0.474,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-NX,宁夏,CN-R-NW,西北,100.953,98.799,100.084,100.688,101.756,1.949,0.67,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,province,CN-XJ,新疆,CN-R-NW,西北,100.49,98.796,99.54,100.126,101.29,0.581,0.068,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-GZ-GZ,广州,CN-GD,广东,101.923,102.935,104.879,100.903,102.978,0.3,0.103,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-GD-SZ,深圳,CN-GD,广东,100.657,100.135,100.227,100.223,101.385,1.572,0.286,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-ZJ-HZ,杭州,CN-ZJ,浙江,99.993,98.891,97.293,99.415,100.187,0.896,0.633,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-JS-NJ,南京,CN-JS,江苏,99.658,99.521,97.723,99.676,100.598,1.232,0.48,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-HB-WH,武汉,CN-HB,湖北,100.589,98.922,99.64,99.702,101.381,1.735,0.746,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-SC-CD,成都,CN-SC,四川,101.418,102.905,101.867,100.559,101.8,1.193,0.014,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-SN-XA,西安,CN-SN,陕西,100.246,100.15,101.281,99.634,100.27,1.264,0.102,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-JS-SZ,苏州,CN-JS,江苏,101.144,99.231,103.188,101.118,102.119,1.708,0.51,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-SD-QD,青岛,CN-SD,山东,100.916,100.606,99.064,100.144,101.095,0.621,0.587,2016-01=100,国家统计局,2016-04-10,final
2016-03-01,2016,3,city,CN-ZJ-NB,宁波,CN-ZJ,浙江,101.417,99.916,99.957,100.43,101.661,1.395,0.476,2016-01=100,国家统计局,2016-04-10,final
2016-04-01,2016,4,national,CN,中国,,,100.981,102.758,99.797,99.964,102.472,1.091,0.278,2016-01=100,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-NC,华北,CN,中国,99.587,99.973,102.187,98.903,100.842,0.622,0.025,2016-01=100,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-NE,东北,CN,中国,100.202,101.373,98.3,99.355,100.45,0.845,0.463,2016-01=100,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-EC,华东,CN,中国,100.641,98.771,97.975,100.623,101.971,1.021,0.399,2016-01=100,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-CC,华中,CN,中国,100.334,101.205,103.477,99.785,100.515,1.072,0.107,2016-01=100,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-SC,华南,CN,中国,100.614,101.594,103.311,99.612,100.671,0.309,0.575,2016-01=100,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-SW,西南,CN,中国,101.78,100.218,104.841,101.06,102.939,1.965,0.535,2016-01=100,国家统计局,2016-05-11,final
2016-04-01,2016,4,region,CN-R-NW,西北,CN,中国,100.255,98.221,99.799,99.724,100.926,0.653,0.571,2016-01=100,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-BJ,北京,CN-R-NC,华北,101.592,102.646,99.583,101.159,101.616,1.691,0.659,2016-01=100,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-TJ,天津,CN-R-NC,华北,101.043,102.56,99.65,101.067,102.499,0.914,0.292,2016-01=100,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-HE,河北,CN-R-NC,华北,101.91,101.102,100.423,101.736,103.064,0.443,0.083,2016-01=100,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-SX,山西,CN-R-NC,华北,99.972,98.978,97.177,99.89,101.163,1.61,0.346,2016-01=100,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-NM,内蒙古,CN-R-NC,华北,101.541,102.839,98.756,101.126,102.829,1.108,0.537,2016-01=100,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-LN,辽宁,CN-R-NE,东北,100.186,98.935,100.808,99.171,101.222,0.419,0.039,2016-01=100,国家统计局,2016-05-11,final
2016-04-01,2016,4,province,CN-JL,吉林,CN-R-NE,东北,100.254,99.81,98.625,99.792,101.284,1.099,0.425,2016-01=100,国家统计局,2016-05-11,final
